Mol,HFE,Temp,gf_w_40,gf_w_80,gf_w_120,gf_w_160,gf_w_200,gf_w_240,gf_w_280,gf_w_320,gf_w_360,gf_w_400,gf_w_440,gf_w_480,gf_w_520,gf_w_560,gf_w_600,gf_w_640,gf_w_680,gf_w_720,gf_w_760,gf_w_800,gf_w_840,gf_w_880,gf_w_920,gf_w_960,gf_w_1000,gf_w_1040,gf_w_1080,gf_w_1120,gf_w_1160,gf_w_1200,gf_w_1240,gf_w_1280,gf_w_1320,gf_w_1360,gf_w_1400,gf_w_1440,gf_w_1480,gf_w_1520,gf_w_1560,gf_w_1600,gf_w_1640,gf_w_1680,gf_w_1720,gf_w_1760,gf_w_1800,gf_w_1840,gf_w_1880,gf_w_1920,gf_w_1960,gf_w_2000,gf_w_2040,gf_w_2080,gf_w_2120,gf_w_2160,gf_w_2200,gf_w_2240,gf_w_2280,gf_w_2320,gf_w_2360,gf_w_2400,gf_w_2440,gf_w_2480,gf_w_2520,gf_w_2560,gf_w_2600,gf_w_2640,gf_w_2680,gf_w_2720,gf_w_2760,gf_w_2800,gf_w_2840,gf_w_2880,gf_w_2920,gf_w_2960,gf_w_3000,gf_w_3040,gf_w_3080,gf_w_3120,gf_w_3160,gf_w_3200,gf_w_3240,gf_w_3280,gf_w_3320,gf_w_3360,gf_w_3400,gf_w_3440,gf_w_3480,gf_w_3520,gf_w_3560,gf_w_3600,gf_w_3640,gf_w_3680,gf_w_3720,gf_w_3760,gf_w_3800,gf_w_3840,gf_w_3880,gf_w_3920,gf_w_3960,gf_w_4000,gf_w_4040,gf_w_4080,gf_w_4120,gf_w_4160,gf_w_4200,gf_w_4240,gf_w_4280,gf_w_4320,gf_w_4360,gf_w_4400,gf_w_4440,gf_w_4480,gf_w_4520,gf_w_4560,gf_w_4600,gf_w_4640,gf_w_4680,gf_w_4720,gf_w_4760,gf_w_4800,gf_w_4840,gf_w_4880,gf_w_4920,gf_w_4960,gf_w_5000,gf_w_5040,gf_w_5080,gf_w_5120,gf_w_5160,gf_w_5200,gf_w_5240,gf_w_5280,gf_w_5320,gf_w_5360,gf_w_5400,gf_w_5440,gf_w_5480,gf_w_5520,gf_w_5560,gf_w_5600,gf_w_5640,gf_w_5680,gf_w_5720,gf_w_5760,gf_w_5800,gf_w_5840,gf_w_5880,gf_w_5920,gf_w_5960,gf_w_6000,gf_w_6040,gf_w_6080,gf_w_6120,gf_w_6160,gf_w_6200,gf_w_6240,gf_w_6280,gf_w_6320,gf_w_6360,gf_w_6400
0123dim,-4.86,298,0.026665046,0.108152109,0.244870618,0.437047673,0.684253474,0.98499164,1.33685953,1.738683585,2.190277433,2.689209973,3.231246219,3.811950261,4.425760721,5.067111439,5.733927739,6.424300186,7.131212346,7.844868873,8.554319116,9.248162662,9.918112926,10.55879939,11.16680665,11.74139482,12.28598876,12.80999834,13.32954634,13.87602556,14.51591894,15.33947003,16.41786522,17.65318315,16.00460127,-0.435298542,-34.30771054,-62.1816842,-70.50587686,-65.96504338,-53.35390793,-36.78513284,-20.61092308,-5.665867827,7.904409347,19.69961896,28.29421536,31.42666672,27.62944311,17.6503131,4.192518574,-9.487706446,-20.92170545,-28.70585701,-33.04944963,-33.41641505,-26.95001967,-10.01327385,18.13805542,53.49881575,89.11296869,115.3419899,129.3804259,133.1037884,128.6265513,117.9667139,103.3493288,86.40306762,68.35507077,50.06492727,31.91156559,13.93024523,-3.53930764,-19.95957512,-35.22352368,-49.15285033,-61.49584335,-71.98711538,-80.32883194,-86.27037545,-89.71873663,-90.80660356,-89.82526557,-86.93846488,-82.05801211,-75.25269895,-66.94231449,-57.70226395,-48.17470216,-38.95145542,-30.34108367,-22.36879512,-14.89942892,-7.789583336,-0.982421296,5.485264341,11.49390704,17.02140585,22.1063048,26.81294371,31.19954547,35.25702582,38.87800722,41.82420155,43.9015165,45.09895869,45.42562546,44.88506624,43.49821375,41.31389462,38.43609796,35.01909378,31.26980624,27.3729164,23.35368604,19.09734505,14.42503022,9.217763567,3.548644592,-2.45126565,-8.624523305,-14.79785308,-20.79615979,-26.46412391,-31.64676772,-36.18419672,-39.96311144,-42.90165629,-44.95794073,-46.13013563,-46.42969129,-45.90855393,-44.64160973,-42.67634583,-40.01329432,-36.65437907,-32.62392529,-27.97399282,-22.77766875,-17.10684992,-11.0533013,-4.758335123,1.587153574,7.736148625,13.38978267,18.29125914,22.25912018,25.22062906,27.20858846,28.31276776,28.64444983,28.32147052,27.45415483,26.14662345,24.48960857,22.56249063,20.43320319,18.15681439,15.77059414,13.30374957,10.78297828,8.236491607
test4006,-0.59,298,0.023516419,0.095139193,0.214491817,0.381094799,0.594277638,0.852848304,1.154716981,1.496753779,1.875211548,2.286376187,2.72706647,3.194629409,3.686051327,4.197674857,4.725451729,5.265160629,5.812461294,6.36299896,6.912580601,7.457098666,7.992630584,8.515828494,9.023943439,9.516133004,9.995038593,10.46747399,10.94559175,11.45372873,12.03809799,12.75297629,13.6318232,14.67843698,15.87746542,17.20715278,18.63565411,20.10378087,21.53877912,22.90367959,24.20422996,25.38828417,26.19927904,26.26929744,25.32819409,23.03127003,18.74327796,11.86578105,2.406615811,-8.79539298,-20.3388803,-30.73472793,-39.06273959,-44.82685813,-48.26315218,-49.93997162,-50.30878023,-49.56893533,-47.74512322,-44.89267323,-41.20121035,-36.64534124,-30.36040203,-20.39927031,-5.207479021,15.09786741,36.31486758,51.0226793,60.24908483,65.23401906,66.85979462,65.80918701,62.63754245,57.83314962,51.82417813,44.9962456,37.6815584,30.12793646,22.53169024,15.06187286,7.852027924,1.029583106,-5.265488052,-10.85467872,-15.52883433,-19.07548419,-21.31535797,-22.42067871,-22.66404997,-22.29629138,-21.54271847,-20.60540386,-19.66149858,-18.84760284,-18.265837,-17.94212882,-17.86061478,-17.97184092,-18.19539609,-18.46049698,-18.71586153,-18.9317117,-19.08694562,-19.15656187,-19.10588056,-18.8893392,-18.46054866,-17.77474437,-16.79372752,-15.48765155,-13.85650013,-11.9327765,-9.778097504,-7.473417755,-5.097708032,-2.711955269,-0.345333469,2.000921606,4.334131097,6.638333645,8.824855338,10.78657716,12.43328309,13.69864027,14.53776979,14.92584718,14.85810817,14.35299607,13.46399307,12.27776071,10.86420275,9.276915853,7.572246143,5.807977217,4.040795123,2.323589275,0.704460466,-0.7740642,-2.075867195,-3.171736441,-4.041047521,-4.674131655,-5.07488043,-5.26484577,-5.281586725,-5.168070696,-4.961876555,-4.691616974,-4.379061539,-4.039785779,-3.688639963,-3.343968673,-3.028732749,-2.768513435,-2.582943365,-2.484701469,-2.465430778,-2.502955598,-2.572977185,-2.651230748,-2.714479524,-2.741931456
0055ocr,-5.87,298,0.027294569,0.110668309,0.25024376,0.445910602,0.69698056,1.001751152,1.357517141,1.761223139,2.212603326,2.714623259,3.263279292,3.851868869,4.473167449,5.120725146,5.788732865,6.471591681,7.163128829,7.855578146,8.541782229,9.212074213,9.856861004,10.47173702,11.05362583,11.6007308,12.11493583,12.60403177,13.06615261,9.032557915,-42.98600388,-82.52259442,-91.6858405,-82.24799329,-62.95414242,-40.52125647,-18.89220518,-6.19532168,0.754649508,6.167838826,11.92587886,18.5150408,25.73055068,33.13555004,40.21264623,45.94023009,48.07263412,43.70513841,31.44024709,12.7421735,-9.49014583,-32.22130867,-51.43060379,-64.93401693,-69.72187233,-61.00421525,-36.28674796,0.310810109,33.32777813,60.29587201,81.78006698,97.17170988,105.7606581,106.9075146,101.4300976,91.26223839,78.12603751,63.49673956,48.33165518,33.19376583,18.21168861,3.733668726,-9.982413903,-22.8311963,-34.52073215,-44.51239153,-52.08151065,-56.83296777,-59.0213958,-59.29796723,-58.10248658,-55.53362248,-51.74486501,-46.88027679,-41.02942463,-34.33652291,-27.08591601,-19.70639238,-12.61574632,-6.193555679,-0.765384093,3.438083891,6.347661047,8.004301812,8.51988132,8.205452817,7.405292111,6.425647356,5.49932358,4.783242276,4.345182357,4.160043659,4.151239036,4.270083855,4.435087599,4.548410962,4.603045817,4.578346434,4.560857481,4.671903137,5.021429584,5.668955428,6.564693792,7.564961862,8.472243669,9.079159617,9.163110183,8.575862642,7.357869305,5.627346875,3.552288262,1.37034366,-0.836586176,-2.975662954,-4.968224696,-6.775716081,-8.339826132,-9.615370751,-10.57241068,-11.22005819,-11.59846152,-11.75696807,-11.73170483,-11.51807235,-11.07872491,-10.32864631,-9.221754545,-7.846667509,-6.331308682,-4.825952777,-3.478274555,-2.387754363,-1.577509702,-0.977853582,-0.527568757,-0.213358867,0.006937142,0.179905434,0.318539327,0.407176871,0.424391367,0.355461066,0.189663854,-0.073280569,-0.41670812,-0.813379746,-1.232817996,-1.644823278,-2.02799533,-2.365677016,-2.638646114,-2.826630848
0026cyc,0.56,298,0.025512187,0.103224076,0.232722441,0.413040499,0.642155988,0.91652602,1.231142974,1.579978164,1.956714519,2.35558117,2.772065448,3.203419956,3.648682568,4.108227031,4.583080341,5.073951221,5.58003877,6.098564283,6.62494793,7.153388628,7.677622139,8.191758545,8.691138664,9.173763288,9.642069052,10.10434572,10.57495905,11.08127079,11.6822057,12.46294189,13.500102,14.84002229,16.49632384,18.36776999,19.94694466,20.45397531,19.7355759,18.5261959,17.75162618,17.94071263,19.16455489,21.2260291,23.79330714,26.20704344,26.950699,23.76939196,15.06764434,1.236554481,-15.4525671,-32.07338227,-45.99306124,-55.7468546,-61.91431039,-65.08954723,-65.17993442,-61.47657637,-53.30750366,-40.84011564,-25.32989877,-8.692960194,7.146539271,20.8807928,31.57683416,39.22586253,44.30342466,47.16040491,48.16460644,47.53866457,45.40953208,41.90882174,37.22860544,31.62854851,25.39593826,18.8112307,12.13654759,5.6371932,-0.468148015,-5.941407901,-10.57117781,-14.18739784,-16.69594384,-18.0696754,-18.3512796,-17.64667963,-16.1012416,-13.88986894,-11.20445703,-8.260430911,-5.305832688,-2.624459387,-0.508482789,0.810247326,1.22516849,0.772840752,-0.400843544,-2.092750437,-4.103995249,-6.267433956,-8.43289981,-10.44536804,-12.13328356,-13.32948205,-13.90853797,-13.81903287,-13.09301553,-11.85530283,-10.26954586,-8.478333101,-6.579359991,-4.634463965,-2.689966388,-0.800729663,0.96435509,2.523761003,3.799277979,4.734087012,5.298472196,5.489274678,5.322201823,4.821179748,4.012360351,2.927032217,1.609289314,0.122124606,-1.45252679,-3.021201224,-4.489475633,-5.781097589,-6.839960613,-7.631714912,-8.138674166,-8.355213422,-8.286330845,-7.948318509,-7.369290196,-6.589271966,-5.653677919,-4.610060539,-3.504463367,-2.380087191,-1.273172287,-0.21200759,0.777522682,1.672248171,2.452511018,3.102932495,3.613958816,3.982061206,4.209294269,4.302543867,4.27269673,4.134772984,3.906349431,3.606359697,3.25431622,2.8683521,2.464689777,2.057318151,1.656925668,1.27114423
test1049,-16.4,298,0.035423175,0.142905524,0.321369287,0.569923719,0.887451926,1.27244622,1.723324991,2.239051714,2.819476558,3.463139862,4.165858624,4.923073017,5.734324538,6.595635507,7.493000064,8.412404605,9.342426913,10.27323143,11.19389135,12.09342136,12.96443503,13.80246396,14.60248049,15.35939715,16.07362191,16.75393965,17.41522279,18.08552565,18.82584905,19.66917589,16.70074658,-16.93213911,-99.05918314,-166.1990548,-194.0769049,-195.2487101,-177.174179,-146.4398283,-112.370254,-80.44104933,-51.72955865,-26.3343217,-4.101101306,14.49400097,27.45530718,32.10923309,27.57661121,15.96334109,1.117252224,-13.38280476,-24.66149461,-30.38771578,-24.24677984,6.5152033,72.99837832,170.5371641,256.1208914,311.3249521,343.2918185,354.3516799,345.2645271,319.5860023,281.3171519,235.0115714,184.3943526,132.3106431,80.90039836,31.5823279,-15.15373894,-58.76858494,-98.42802716,-133.7321316,-164.5562071,-190.1213474,-209.1144893,-220.2211764,-222.9717737,-218.5699086,-208.2880703,-193.5287901,-175.447978,-155.2092791,-133.8460044,-112.2663185,-91.26087776,-71.48214459,-53.40354208,-37.20414981,-22.91896246,-10.50657935,0.143169912,9.180893724,16.72829182,22.87048351,27.70671227,31.40926481,34.20185967,36.25009627,37.65611883,38.53735573,38.97480281,39.0067717,38.74410811,38.29819344,37.64038387,36.7423774,35.67083844,34.54063583,33.40056068,32.20229139,30.90741738,29.50626458,27.95634907,26.25466751,24.3370502,21.8730093,18.52780002,14.13142543,8.639799053,2.09385714,-5.331909763,-13.25860114,-21.07010061,-28.24927126,-34.56740305,-39.88299835,-44.0975952,-47.03453,-48.58075807,-48.76251807,-47.6520965,-45.39512181,-42.03628404,-37.5813711,-32.07598677,-25.67718571,-18.69953299,-11.53123564,-4.53403206,2.022503539,7.952407609,13.09543111,17.38236869,20.78809012,23.25379961,24.89308898,26.00151918,26.73943458,27.05599914,26.76804789,25.6948552,23.80661462,21.33881631,18.55124139,15.60613041,12.56043851,9.432141398,6.235535463,3.008041183,-0.153294782
0411chp,0.07,298,0.042238456,0.170439854,0.382987044,0.678016862,1.05375423,1.508041078,2.037207469,2.635221727,3.293981335,4.004614863,4.758861792,5.549549233,6.370115708,7.213691356,8.073242332,8.941737556,9.812199358,10.67778384,11.53151812,12.36596975,13.17334724,13.94615584,14.67816289,15.36602005,16.01187062,16.62533772,17.22621067,17.85995654,18.62203202,19.62611109,20.93437852,22.53607907,24.37555093,26.38289257,28.45988194,30.38338249,31.693986,31.89659532,30.96544345,29.4098665,27.83503149,26.61113675,25.74981764,24.72782958,22.26236429,16.53585361,6.275869577,-8.152734251,-24.71953391,-40.74689095,-54.12430167,-63.63371322,-69.5844091,-72.71741845,-73.52124213,-71.72646411,-66.03079405,-54.61206042,-36.70350273,-13.79540348,10.08596275,29.44547759,44.08947378,54.17172475,60.58340354,64.07437129,65.1645079,64.1666849,61.24719524,56.57786517,50.39873607,43.04185007,34.87663763,26.26486766,17.50024455,8.891328334,0.70765724,-6.887781017,-13.69616038,-19.51160788,-24.16177468,-27.59957816,-29.85381072,-30.98630933,-31.12664656,-30.45756226,-29.18327757,-27.51251027,-25.65348867,-23.80924541,-22.1724717,-20.89070841,-20.0407373,-19.61574342,-19.52568672,-19.63460322,-19.76114851,-19.71852122,-19.39269652,-18.75977746,-17.85744257,-16.76108165,-15.5527744,-14.30327362,-13.03875049,-11.74305289,-10.35768258,-8.797247653,-6.988399055,-4.87444763,-2.456126612,0.199203973,2.971185231,5.718010865,8.311274928,10.66125698,12.71453184,14.4137607,15.71122477,16.54659151,16.87503806,16.69174117,16.02190487,14.911017,13.41514431,11.59667364,9.520503763,7.254990092,4.868587956,2.427215173,0.004684947,-2.315561838,-4.462588498,-6.37441551,-8.003623034,-9.329342873,-10.34779948,-11.06629056,-11.49986788,-11.66741519,-11.58859088,-11.28143196,-10.76162068,-10.04577531,-9.155168461,-8.11172136,-6.942155707,-5.678465282,-4.36237943,-3.048219471,-1.802901699,-0.696997465,0.213971371,0.912076684,1.417818789,1.768127436,2.001223714,2.144364344,2.212828805,2.214053892
test1030,-5.5,298,0.093163567,0.377893566,0.854936339,1.52378231,2.381134108,3.418714821,4.622057922,5.971645508,7.446003707,9.023734159,10.68662636,12.42198313,14.22056926,16.07349617,17.96835873,19.8886132,21.81571868,23.73132568,25.61852249,27.46087376,29.24310053,30.95458354,32.59176142,34.16020262,35.67496711,37.15463187,38.61526434,40.07419871,41.56837141,43.16105535,44.60422329,42.85600824,32.6590598,17.36899606,7.853704318,6.76644864,10.77033915,17.597267,25.6305605,33.07106767,39.3731201,44.45153722,47.80167044,47.62726432,40.98541103,25.69528038,2.671421635,-22.81405798,-46.22117538,-64.07949381,-75.87754589,-81.05105887,-77.82596953,-64.6223514,-42.53903542,-14.53508614,14.31479924,45.28783317,77.68464373,106.1658084,122.6272438,127.6975084,124.7512023,116.3021012,104.182729,89.77722314,74.01520403,57.42318868,40.52056628,23.67434515,7.08292236,-8.991894166,-24.0207007,-37.54008756,-49.31304491,-59.24693549,-67.37924601,-73.79686157,-78.46513297,-81.30583207,-82.36524344,-81.83006132,-79.89161408,-76.7329369,-72.5836365,-67.76321451,-62.64922568,-57.63855233,-53.05221711,-49.08375095,-45.80535253,-43.24809942,-41.38065831,-40.03762876,-38.93216067,-37.83973016,-36.69479158,-35.44805006,-33.97990585,-32.14522572,-29.80437236,-26.87476601,-23.34961514,-19.28290791,-14.77046929,-9.976779691,-5.100426966,-0.295333017,4.2618893,8.374183029,11.84842319,14.53054312,16.35492286,17.35460854,17.60187495,17.2042267,16.29338082,14.95618,13.27343296,11.30805556,9.100670053,6.706961388,4.173271719,1.528543688,-1.178572043,-3.895752709,-6.600941923,-9.297864185,-12.00325111,-14.67595074,-17.1607516,-19.3010487,-20.98267662,-22.16149695,-22.83498221,-22.99769114,-22.61316564,-21.63775813,-20.08640516,-18.08485902,-15.83399361,-13.51529892,-11.23721995,-9.089678348,-7.16070189,-5.523348675,-4.209729101,-3.222025667,-2.525444637,-2.072636041,-1.813852886,-1.682639477,-1.592422599,-1.463393227,-1.243226065,-0.906053116,-0.463552148,0.059587026,0.632731939,1.226398117
test1023,-5.7,298,0.08120955,0.329050715,0.742667297,1.319313375,2.054737402,2.942865549,3.974483871,5.137038483,6.417983175,7.806635592,9.291867499,10.86349423,12.51481803,14.23693012,16.01317155,17.82568651,19.66096722,21.5085714,23.35650623,25.18938762,26.99420208,28.76506253,30.50237811,32.21277379,33.91107444,35.61848038,37.35785948,39.15907058,41.07828114,43.11848542,41.69700192,13.18789612,-62.18685493,-141.9605364,-179.1985739,-180.9515294,-169.9716046,-165.0951681,-166.7239624,-163.1795498,-149.5099314,-128.8121848,-106.9701502,-90.3215222,-84.89874083,-93.87757444,-114.6354907,-139.2443481,-160.2035478,-171.3580998,-168.4177144,-144.3581535,-85.65148284,15.73929869,147.5699386,267.5401192,361.7664708,441.3082129,516.3730681,588.2085632,643.4107873,662.9794463,646.0191448,598.8490752,530.7888998,448.9220948,358.557969,264.739229,171.1667746,80.33172933,-6.188716093,-86.2768547,-158.4925833,-221.9498609,-275.9393417,-320.3781655,-355.7329575,-382.0171318,-398.742145,-405.8627301,-404.1736948,-394.7260025,-378.8742345,-358.1447693,-333.8291951,-306.8706896,-278.0077668,-247.8418346,-216.8978551,-185.713202,-154.9485318,-125.1553547,-96.52412941,-68.9870209,-42.48123944,-17.0039316,7.510646611,31.18585183,54.01179468,75.65506278,95.40794944,112.59645,127.0099485,138.8837318,148.6781083,156.6346027,162.7608209,166.9475245,169.0005721,168.8946871,166.9527024,163.5164015,158.5434737,151.5700499,141.9158643,128.9474942,112.4937627,92.89472212,70.48111256,45.51997787,18.31900845,-10.382542,-39.26262265,-66.81679435,-92.01172792,-114.7189655,-135.2000828,-153.432932,-169.1099299,-181.6476842,-190.4620185,-195.1692459,-195.6424702,-191.885106,-183.8592892,-171.5171135,-155.0294931,-135.0711561,-112.8147838,-89.43290315,-65.69093202,-41.92302465,-18.3404095,4.746210712,26.7142286,46.91933702,65.03064281,81.04135375,94.83730196,106.1281751,114.7042129,120.5584892,123.7884929,124.4277693,122.4823424,118.0338344,111.2851423,102.4975737,91.93984384,79.99274736
test2022,-9.45,298,0.026624409,0.10746922,0.24183072,0.428844578,0.666984066,0.953957122,1.286951211,1.662993194,2.079346614,2.53367902,3.023808412,3.547687919,4.106290111,4.70043891,5.323629094,5.965378181,6.615776086,7.265369822,7.905665193,8.530112504,9.134191746,9.713761725,10.26478207,10.78454892,11.27290858,11.73357714,12.17682091,12.62723819,13.14159562,13.81741316,13.67415527,2.179606545,-33.59018511,-75.80859733,-99.93152737,-107.1290294,-100.4402199,-85.42583926,-66.83310473,-47.32856078,-28.481262,-11.14321408,4.147497337,16.48643501,23.89247018,23.97881541,15.91772006,1.35842485,-16.60853279,-35.06409956,-51.80714929,-64.20034857,-66.66355325,-46.82828142,7.62893653,94.05392105,172.4866266,220.8627534,245.2876259,249.8599263,238.1905217,213.6332979,179.8078796,141.0222836,100.8308441,61.98589856,25.90088245,-6.838308876,-36.44509041,-63.42799477,-87.95464019,-109.4887905,-127.8111307,-142.3824936,-152.112739,-155.7188368,-152.7340309,-144.3890523,-131.957863,-116.616234,-99.45200563,-81.26281372,-62.72151572,-44.42259229,-27.05609274,-11.24505087,2.665950972,14.47502812,24.07579611,31.59233462,37.22553603,41.15628694,43.59564994,44.81357158,45.10355305,44.7362659,43.91866086,42.73506793,41.11401904,38.98130776,36.42672733,33.6149509,30.65834208,27.56666897,24.28728774,20.84715003,17.35513015,14.00617313,11.04303368,8.601780254,6.643287546,4.98852322,3.363554833,1.490889858,-0.860279503,-3.817839435,-7.386987136,-11.45583335,-15.81928395,-20.23333466,-24.47379398,-28.35051898,-31.69836621,-34.39429978,-36.34636794,-37.48113839,-37.76509759,-37.22142137,-35.90221822,-33.87189273,-31.21736461,-28.01135988,-24.31220492,-20.18091207,-15.72353287,-11.08126412,-6.44490841,-2.059054206,1.865900966,5.231799912,8.040020461,10.29061296,11.93613125,12.94890601,13.38366209,13.36233105,13.02693464,12.46930872,11.6945948,10.70705649,9.553205663,8.305154297,7.034548328,5.830361541,4.791864965,4.00905708,3.501985109,3.179979228,2.940480134,2.723368946
test3005,-10.91,298,0.035843776,0.145137853,0.327735681,0.583409458,0.911879196,1.312389214,1.782953691,2.320718659,2.923649271,3.588932944,4.312224179,5.089438561,5.920135609,6.803681922,7.732952616,8.695588499,9.6789662,10.67160587,11.66244029,12.64087029,13.5979251,14.52746067,15.42358669,16.28373212,17.11194482,17.91945635,18.73053655,19.5947699,20.60829587,21.84526342,20.61489893,-0.273114656,-53.35603321,-99.27312899,-120.8084468,-120.7297108,-107.037467,-85.66925294,-62.07449258,-40.77365535,-21.83367461,-4.752591674,10.75543095,24.06169952,32.7492395,33.20339344,23.24881678,4.181658067,-19.84413259,-43.96431569,-63.52910858,-74.22462333,-70.39920996,-45.44260659,2.982740061,68.37196371,132.3033652,186.832641,226.5584124,247.3392487,250.7292506,238.4173241,213.4571778,180.2973905,142.9055744,104.4630415,67.09878935,31.81291682,-1.316600649,-31.95402018,-60.23754351,-86.18301812,-109.4292668,-129.2223438,-144.7597448,-155.6188016,-161.7548467,-163.1485017,-159.7775676,-152.1418678,-140.9497004,-127.0183559,-111.0791426,-93.79056562,-75.80842784,-57.82953374,-40.62807828,-24.86305749,-10.83320256,1.591962617,12.76808555,22.92537623,32.1863581,40.58018955,48.01323593,54.31897724,59.41571399,63.31719494,66.0728358,67.63494273,67.81075882,66.50728584,63.80662595,59.85012105,54.83464902,49.00288471,42.64248913,36.07005854,29.57049484,23.37574527,17.60046253,12.1628902,6.873686311,1.52453413,-4.035617461,-9.823093285,-15.7108826,-21.49658222,-26.98939999,-32.03794058,-36.54432544,-40.43549079,-43.66610792,-46.19258815,-47.94639264,-48.86025486,-48.87768795,-47.99341821,-46.30318547,-43.92658463,-40.97162075,-37.51246922,-33.58062874,-29.17856286,-24.30467482,-18.99256933,-13.31410844,-7.37226534,-1.316356908,4.633075134,10.21742683,15.18697827,19.31198202,22.42959172,24.49987951,25.59823774,25.8795294,25.53005767,24.71006274,23.52950073,22.0518001,20.30728492,18.29448792,16.01214843,13.51458275,10.91077622,8.306117691,5.77701271,3.36114934,1.082912814
