Mol,HFE,Temp,hnc_w_40,hnc_w_80,hnc_w_120,hnc_w_160,hnc_w_200,hnc_w_240,hnc_w_280,hnc_w_320,hnc_w_360,hnc_w_400,hnc_w_440,hnc_w_480,hnc_w_520,hnc_w_560,hnc_w_600,hnc_w_640,hnc_w_680,hnc_w_720,hnc_w_760,hnc_w_800,hnc_w_840,hnc_w_880,hnc_w_920,hnc_w_960,hnc_w_1000,hnc_w_1040,hnc_w_1080,hnc_w_1120,hnc_w_1160,hnc_w_1200,hnc_w_1240,hnc_w_1280,hnc_w_1320,hnc_w_1360,hnc_w_1400,hnc_w_1440,hnc_w_1480,hnc_w_1520,hnc_w_1560,hnc_w_1600,hnc_w_1640,hnc_w_1680,hnc_w_1720,hnc_w_1760,hnc_w_1800,hnc_w_1840,hnc_w_1880,hnc_w_1920,hnc_w_1960,hnc_w_2000,hnc_w_2040,hnc_w_2080,hnc_w_2120,hnc_w_2160,hnc_w_2200,hnc_w_2240,hnc_w_2280,hnc_w_2320,hnc_w_2360,hnc_w_2400,hnc_w_2440,hnc_w_2480,hnc_w_2520,hnc_w_2560,hnc_w_2600,hnc_w_2640,hnc_w_2680,hnc_w_2720,hnc_w_2760,hnc_w_2800,hnc_w_2840,hnc_w_2880,hnc_w_2920,hnc_w_2960,hnc_w_3000,hnc_w_3040,hnc_w_3080,hnc_w_3120,hnc_w_3160,hnc_w_3200,hnc_w_3240,hnc_w_3280,hnc_w_3320,hnc_w_3360,hnc_w_3400,hnc_w_3440,hnc_w_3480,hnc_w_3520,hnc_w_3560,hnc_w_3600,hnc_w_3640,hnc_w_3680,hnc_w_3720,hnc_w_3760,hnc_w_3800,hnc_w_3840,hnc_w_3880,hnc_w_3920,hnc_w_3960,hnc_w_4000,hnc_w_4040,hnc_w_4080,hnc_w_4120,hnc_w_4160,hnc_w_4200,hnc_w_4240,hnc_w_4280,hnc_w_4320,hnc_w_4360,hnc_w_4400,hnc_w_4440,hnc_w_4480,hnc_w_4520,hnc_w_4560,hnc_w_4600,hnc_w_4640,hnc_w_4680,hnc_w_4720,hnc_w_4760,hnc_w_4800,hnc_w_4840,hnc_w_4880,hnc_w_4920,hnc_w_4960,hnc_w_5000,hnc_w_5040,hnc_w_5080,hnc_w_5120,hnc_w_5160,hnc_w_5200,hnc_w_5240,hnc_w_5280,hnc_w_5320,hnc_w_5360,hnc_w_5400,hnc_w_5440,hnc_w_5480,hnc_w_5520,hnc_w_5560,hnc_w_5600,hnc_w_5640,hnc_w_5680,hnc_w_5720,hnc_w_5760,hnc_w_5800,hnc_w_5840,hnc_w_5880,hnc_w_5920,hnc_w_5960,hnc_w_6000,hnc_w_6040,hnc_w_6080,hnc_w_6120,hnc_w_6160,hnc_w_6200,hnc_w_6240,hnc_w_6280,hnc_w_6320,hnc_w_6360,hnc_w_6400
0123dim,-4.86,298,0.042127079,0.170785607,0.386387491,0.689159829,1.078672824,1.553430092,2.111028992,2.750295968,3.471044646,4.270843925,5.14545882,6.09045342,7.100266347,8.169331441,9.295574027,10.47708467,11.70684693,12.97506547,14.27078964,15.58261902,16.90226702,18.22436314,19.54549196,20.8649136,22.18605267,23.51829462,24.8770899,26.28797392,27.79853151,29.47148453,31.35746125,33.349185,32.34379545,16.24287176,-17.36745596,-44.76953834,-52.74803538,-48.04553342,-35.33268419,-18.62676214,-2.271358651,12.87048227,26.62203043,38.5002952,46.86192904,49.178535,44.00057562,32.51805811,17.94453257,3.714346767,-7.859258115,-15.62758291,-19.98375747,-20.51143253,-14.51727616,1.45271814,28.11076416,61.67499903,95.55291003,120.3880246,133.4778611,136.6886347,132.0076562,121.2774651,106.6246316,89.63719682,71.53054485,53.16150411,34.90317348,16.78477622,-0.85275918,-17.46415666,-32.92953016,-47.05592406,-59.57942009,-70.22624478,-78.69410821,-84.7321557,-88.24908144,-89.37954057,-88.41687894,-85.52723929,-80.62517223,-73.78189018,-65.41880251,-56.11256606,-46.50724114,-37.19798651,-28.49793962,-20.43912546,-12.89493923,-5.727796538,1.117862355,7.606259641,13.61931933,19.13620766,24.19650201,28.86564755,33.20338517,37.2030405,40.76119169,43.6442182,45.66037132,46.79805897,47.06516068,46.46405942,45.01468143,42.76546416,39.82044493,36.33424754,32.51426519,28.54535835,24.4523775,20.12016432,15.36998732,10.08409319,4.338047301,-1.734054349,-7.971807508,-14.19969313,-20.24138063,-25.9415474,-31.14628635,-35.6972114,-39.48264854,-42.42250045,-44.47684233,-45.64586622,-45.94294904,-45.42152305,-44.15733942,-42.19840348,-39.54572566,-36.20141499,-32.18961124,-27.56174088,-22.38985944,-16.74457756,-10.71619956,-4.444684239,1.879910761,8.010787373,13.64875448,18.53635312,22.49143831,25.44077802,27.41693324,28.50965643,28.83038323,28.49721683,27.6207256,26.30515393,24.64118787,22.70803749,20.57344137,18.29235786,15.90207093,13.43184659,10.90844408,8.360089728
test4006,-0.59,298,0.033521264,0.135666751,0.306061558,0.544226194,0.849490158,1.220661419,1.655650163,2.151326497,2.703943275,3.309786392,3.965674624,4.668954982,5.416613791,6.204993681,7.030046386,7.887550588,8.773166027,9.682537936,10.61147329,11.55586454,12.51178912,13.47589915,14.4454457,15.41958633,16.40096149,17.39632907,18.41690123,19.4806751,20.61578243,21.85237154,23.2080471,24.68411458,26.2713837,27.95672399,29.7146468,31.48595176,33.19322298,34.79860763,36.31418788,37.69270889,38.66788788,38.85145169,37.94610737,35.53613406,30.86031849,23.23283937,12.7396929,0.485090798,-11.84412434,-22.6549835,-31.11863532,-36.9011034,-40.35555051,-42.09205751,-42.5843384,-42.07141505,-40.62660353,-38.31962215,-35.2891834,-31.42161797,-25.8036644,-16.51023317,-1.979190449,17.8496617,39.04240964,54.04140984,63.61551711,68.87866348,70.66352741,69.64426352,66.39017438,61.41524468,55.17687771,48.08830002,40.50360393,32.68547179,24.83914926,17.13811576,9.717658906,2.706242773,-3.755162843,-9.488138156,-14.28626767,-17.94209616,-20.28216683,-21.48001544,-21.80664287,-21.51196469,-20.82192413,-19.94085484,-19.04882584,-18.28442457,-17.74973056,-17.46836506,-17.42088342,-17.55422021,-17.78543653,-18.04276793,-18.27567908,-18.45668801,-18.56799492,-18.5883234,-18.48681554,-18.22172936,-17.75021218,-17.03077009,-16.0278668,-14.71363142,-13.08882893,-11.18543649,-9.063322049,-6.800808906,-4.474028351,-2.141491573,0.169295319,2.458047295,4.732872063,6.979245883,9.111418607,11.0250593,12.63140117,13.86443342,14.6788236,15.04889511,14.96890739,14.45639106,13.56421468,12.37869831,10.96938574,9.38930902,7.694099266,5.940706374,4.184913757,2.478706134,0.869331878,-0.601440724,-1.898122825,-2.991959811,-3.862587471,-4.500382469,-4.909069965,-5.109837335,-5.139710211,-5.04099766,-4.850555137,-4.596260811,-4.299189596,-3.974303174,-3.635943027,-3.302061164,-2.995356553,-2.741295496,-2.55953006,-2.462843568,-2.442977756,-2.477891763,-2.543569261,-2.616218434,-2.673261628,-2.694647332
0055ocr,-5.87,298,0.041847071,0.169617484,0.383436111,0.683192632,1.068198771,1.536752047,2.086147224,2.713328912,3.418031292,4.20321992,5.064891152,5.99634243,6.990349214,8.040461618,9.140870547,10.28597708,11.46960844,12.68399848,13.92198978,15.17391549,16.4301825,17.68638525,18.93944718,20.18757077,21.43263345,22.68238659,23.93427853,20.65235772,-30.6096032,-68.63668278,-76.79780067,-66.89038576,-47.35580148,-24.70721777,-2.813471521,10.0484502,16.90431677,22.05344286,27.53573166,33.9374958,41.08282067,48.52457644,55.7147347,61.54541428,63.55927834,58.61142953,45.34930096,25.63689119,2.76030014,-20.16935527,-39.31178489,-52.71432696,-57.5517237,-49.16899414,-25.06811047,10.75826253,42.79928709,68.48198603,88.55455046,102.6749148,110.3012694,110.8076549,104.9223644,94.49339596,81.17351248,66.39418153,51.09051005,35.81118844,20.6773273,6.036139679,-7.852051791,-20.87522159,-32.73333064,-42.88153454,-50.58896314,-55.45623181,-57.73375079,-58.07043224,-56.90562702,-54.34119277,-50.53541413,-45.63771346,-39.74284239,-32.99888423,-25.69138791,-18.24936881,-11.09028255,-4.59431519,0.910387733,5.188535828,8.165107153,9.874655203,10.42308729,10.12202928,9.317346721,8.316377731,7.352496471,6.582977878,6.076193532,5.80862778,5.706758787,5.727642648,5.794895728,5.814408191,5.780121076,5.67303438,5.578946146,5.618330726,5.901430814,6.48867978,7.331175442,8.284998344,9.151615313,9.72192154,9.769621111,9.143614398,7.886213337,6.117767488,4.00809375,1.796331548,-0.436353551,-2.59768887,-4.609242851,-6.432556754,-8.008985323,-9.293616794,-10.25713167,-10.90946658,-11.29144797,-11.45284991,-11.43008718,-11.21902835,-10.78307991,-10.03862566,-8.940352448,-7.576261694,-6.073896272,-4.583280874,-3.251726456,-2.178060769,-1.384738911,-0.801791175,-0.367665665,-0.068491974,0.138273157,0.299481423,0.428286473,0.509127695,0.520600772,0.447870072,0.279995823,0.016372944,-0.32679024,-0.722782529,-1.141636719,-1.553557923,-1.937407244,-2.276650037,-2.552072113,-2.743317221
0026cyc,0.56,298,0.037336095,0.151120281,0.340941226,0.605832148,0.943770784,1.351214247,1.823154916,2.353564104,2.936124741,3.565065958,4.235875084,4.945804724,5.693892752,6.480512915,7.306692208,8.173139355,9.079053454,10.0216558,10.99636657,11.99738466,13.01844586,14.05366023,15.0983686,16.15057176,17.21270633,18.29305302,19.40550601,20.57238462,21.83476102,23.24981683,24.8709812,26.73463222,28.85473548,31.12638214,33.00074036,33.62539535,32.83604542,31.44863839,30.48950935,30.5503593,31.72493053,33.81548781,36.47489236,38.98278341,39.63344988,35.88740204,26.07834668,10.95846174,-6.694242615,-23.72925798,-37.63889477,-47.22386313,-53.24712435,-56.38185551,-56.5997819,-53.2788181,-45.81232738,-34.33338745,-19.94620288,-4.37087552,10.61412994,23.75311652,34.08487014,41.53278068,46.50807928,49.30825773,50.27240072,49.61295586,47.45250333,43.91925856,39.20347563,33.56530569,27.29468058,20.67583437,13.97314446,7.451405193,1.326786356,-4.166471601,-8.821188779,-12.47057781,-15.02196356,-16.44774763,-16.7891168,-16.15045616,-14.67612924,-12.5400896,-9.93319846,-7.070014539,-4.197639146,-1.599692959,0.430322808,1.658279366,1.97630964,1.422338741,0.146170621,-1.644140947,-3.745326618,-5.986863662,-8.215721528,-10.27445534,-11.99023787,-13.19672391,-13.77151411,-13.6674755,-12.9209656,-11.66036944,-10.05208248,-8.240857802,-6.325819237,-4.369266473,-2.41714228,-0.523539551,1.243507344,2.803097047,4.077282065,5.009220972,5.569037559,5.753442893,5.578167474,5.067363293,4.247574629,3.150597475,1.821032209,0.322267041,-1.263572963,-2.843067013,-4.322033083,-5.624532424,-6.694705294,-7.498277114,-8.017442709,-8.246222219,-8.189073398,-7.861672588,-7.291575262,-6.518405345,-5.587415975,-4.546242661,-3.441217318,-2.315972135,-1.207241724,-0.143786585,0.848096323,1.744889571,2.526653193,3.177790633,3.688595306,4.055453692,4.280404617,4.370388199,4.336412487,4.193677173,3.959982481,3.654510202,3.29702295,2.905883981,2.497511449,2.086043393,1.682265891,1.293856093
test1049,-16.4,298,0.056342397,0.227644963,0.512833291,0.911016636,1.421078105,2.041510007,2.770730734,3.607703762,4.552279258,5.602997563,6.755675672,8.005753761,9.352773326,10.79275669,12.31169798,13.89558361,15.53299135,17.21408565,18.92793971,20.66356819,22.41358469,24.17352079,25.93834881,27.70298095,29.46782217,31.24162539,33.03897422,34.88653962,36.84141151,38.92706208,37.13355746,4.176383814,-77.34483623,-143.3282509,-170.450783,-171.3787168,-153.2683663,-122.4962074,-88.30131435,-56.16575186,-27.18491957,-1.474916293,21.08756489,39.93175702,52.86054411,57.03193012,51.6853517,39.29313477,23.98507068,9.355463315,-1.886037145,-7.60701266,-1.707391661,28.30469437,93.40162012,189.1401944,272.6924222,325.4675174,354.9222431,363.921248,353.5230054,327.0839154,288.2809129,241.4817741,190.3459952,137.7173277,85.75530581,35.90091303,-11.33188676,-55.38197709,-95.4007828,-130.9838226,-162.0079903,-187.7023032,-206.7652226,-217.8920684,-220.6176408,-216.1448498,-205.7487394,-190.8406132,-172.5875357,-152.1623366,-130.6070585,-108.8363556,-87.64379625,-67.68305416,-49.43125513,-33.0727715,-18.6464445,-6.114770748,4.62640747,13.72304113,21.29341977,27.41841513,32.19478586,35.7957565,38.44820839,40.32156768,41.52285226,42.17508693,42.36358083,42.13110676,41.59607989,40.8801253,39.96401161,38.82596215,37.53595074,36.2091097,34.89297191,33.53817723,32.10557867,30.58530691,28.93429934,27.14620013,25.15145311,22.61441522,19.19742618,14.73008616,9.169308283,2.557538781,-4.928933148,-12.90949996,-20.76688367,-27.98306137,-34.32880213,-39.66304615,-43.88831774,-46.8292728,-48.37411225,-48.55011663,-47.43095687,-45.1635909,-41.79358065,-37.3273368,-31.81100251,-25.40229385,-18.41626993,-11.24173722,-4.240838267,2.317327271,8.247989815,13.39236919,17.68221828,21.09278927,23.56543096,25.21387169,26.33360163,27.08441555,27.41446818,27.13955203,26.07835165,24.20076083,21.74177105,18.96069948,16.01951041,12.97467503,9.843634636,6.640475462,3.40273975,0.227765893
0411chp,0.07,298,0.057700489,0.233073353,0.524503917,0.930129018,1.448173579,2.076479529,2.811376931,3.64683411,4.574748548,5.586248816,6.673074393,7.828052392,9.044621334,10.31591136,11.63488862,12.99452204,14.38783394,15.80798044,17.24798864,18.70042611,20.15750133,21.61171958,23.05684819,24.48953883,25.91193397,27.33359908,28.77290785,30.26350379,31.86448728,33.6410925,35.62709829,37.81395804,40.16665268,42.63926028,45.14857927,47.46315182,49.08704994,49.4919058,48.67074636,47.19641881,45.73090483,44.66861674,44.00387956,43.1126401,40.45973297,33.90594846,22.15282186,6.047824379,-11.77032986,-28.39122379,-41.87574215,-51.30860387,-57.1923982,-60.32920195,-61.2313289,-59.69226877,-54.53281022,-44.03164839,-27.33855601,-5.626579359,17.41422183,36.3020482,50.70237238,60.64224016,66.92892155,70.2825206,71.22139934,70.06369158,66.97392117,62.11554851,55.72232494,48.12754631,39.70924443,30.8410504,21.82605477,12.9767939,4.561172796,-3.260940795,-10.29316022,-16.33025161,-21.19789486,-24.84484893,-27.29545975,-28.60843924,-28.91188437,-28.3882819,-27.24230584,-25.68417686,-23.92564519,-22.17587115,-20.63452533,-19.45335156,-18.70801599,-18.38555918,-18.38721523,-18.56856161,-18.74239482,-18.72027151,-18.39105646,-17.73609292,-16.79802179,-15.65594649,-14.39500749,-13.08942308,-11.76964798,-10.42478202,-9.00212014,-7.42155997,-5.612889952,-3.519891642,-1.140887825,1.461040754,4.170060378,6.847961359,9.368715386,11.64387566,13.62098485,15.24378097,16.46601493,17.22921182,17.4898443,17.24394732,16.51763774,15.35740245,13.82013932,11.968686,9.867917033,7.585590037,5.189177656,2.743353649,0.320493745,-1.997533935,-4.141270856,-6.049961961,-7.677044963,-9.002235082,-10.02212044,-10.74420981,-11.18361954,-11.35915057,-11.29026384,-10.99469768,-10.48783621,-9.786076389,-8.910476951,-7.882662394,-6.728905417,-5.480668748,-4.179154745,-2.878269997,-1.644714661,-0.549033666,0.353142045,1.043741564,1.543132305,1.888128875,2.117024689,2.257214075,2.324014269,2.32477322
test1030,-5.5,298,0.117720914,0.477370299,1.079698431,1.924195735,3.007564838,4.321528832,5.851621186,7.578323999,9.480163399,11.53574102,13.72684637,16.04078227,18.46831349,21.00055146,23.62509107,26.32538855,29.08290302,31.87928499,34.69762273,37.52148091,40.33558056,43.12930243,45.89908514,48.65049714,51.39859826,54.16195357,56.95636774,59.79688307,62.71176617,65.74735477,68.62327042,68.16979161,59.034357,44.89461105,36.69909779,36.83256042,41.86406253,49.52707777,58.23479141,66.21865188,72.96169979,78.41076156,82.04262914,81.92078113,74.91246337,58.84591614,34.98411865,9.018242714,-14.37712332,-31.90696425,-43.29171912,-48.11131056,-44.68784861,-31.47370875,-9.555160867,17.89484841,45.17944086,73.2883941,102.5690953,129.3762507,145.6994866,151.0694259,148.2924386,139.6968896,127.1246868,112.0573123,95.54502522,78.22339661,60.6914063,43.36234777,26.45317423,10.22160883,-4.831433816,-18.29373396,-29.97797186,-39.82939828,-47.90986096,-54.31375605,-59.00239559,-61.88938245,-63.01986267,-62.58967769,-60.79827144,-57.8353593,-53.93856739,-49.43541346,-44.70778841,-40.15271114,-36.08779957,-32.70007383,-30.05259218,-28.16485672,-26.99275014,-26.35981408,-25.97398798,-25.60868154,-25.19613982,-24.68440697,-23.95039591,-22.84261315,-21.21398051,-18.97614935,-16.11752104,-12.68623729,-8.772694675,-4.538144262,-0.179423322,4.151977098,8.282064945,12.01482637,15.15755121,17.55813125,19.15361736,19.97661354,20.09227238,19.59586221,18.60992343,17.21996365,15.50769489,13.53401907,11.33422061,8.957187533,6.443651858,3.818359563,1.124186617,-1.593552485,-4.318869203,-7.058410012,-9.82847418,-12.58309038,-15.15830142,-17.38851701,-19.15217556,-20.40136597,-21.13399582,-21.34773389,-21.01027724,-20.08232438,-18.58203075,-16.63609043,-14.4447742,-12.18836762,-9.973753848,-7.889454323,-6.022466649,-4.445411006,-3.190759363,-2.261966903,-1.625774292,-1.235889366,-1.042228491,-0.976592125,-0.950635363,-0.883481177,-0.722062871,-0.439185007,-0.044597354,0.438482834,0.98006043,1.551203063
test1023,-5.7,298,0.117590805,0.476423652,1.075648174,1.912518448,2.982782929,4.280367788,5.796059078,7.517302915,9.431553089,11.52812725,13.79589715,16.22467813,18.80777244,21.53627131,24.39351575,27.36165,30.42716624,33.57962222,36.80702511,40.09399081,43.42750583,46.80168311,50.21693178,53.67987679,57.20534223,60.81448463,64.52947195,68.37542086,72.39347488,76.55952446,77.1712788,50.04689206,-24.51233029,-102.8515344,-138.3316998,-138.5612216,-126.4967902,-120.8733824,-121.7257441,-117.2543496,-102.622579,-81.05276963,-58.59266644,-41.87962611,-37.28726061,-47.97502712,-70.7601833,-97.0139016,-118.8505343,-130.218802,-127.2482614,-103.3929807,-45.5267807,54.35680456,184.4334407,302.4516898,393.9296815,469.7697552,540.6978755,609.0042439,662.0464012,680.5962686,663.1473149,615.6167463,547.171176,464.8819882,374.0951713,279.8794292,185.9396992,94.76932095,7.953061679,-72.38523738,-144.807533,-208.4275276,-262.5347567,-307.0518472,-342.4598887,-368.7860738,-385.5488237,-392.703759,-391.046334,-381.6311843,-365.8219458,-345.1548252,-320.9227889,-294.0626866,-265.3062867,-235.2519575,-204.4240361,-173.3606097,-142.7242883,-113.0660527,-84.57200684,-57.17380983,-30.81388793,-5.493523813,18.84893479,42.3298775,64.9343693,86.32678693,105.7983028,122.6789883,136.7684497,148.310901,157.7733261,165.4036034,171.2123328,175.0904635,176.8436085,176.4450425,174.2141892,170.4902192,165.2303808,157.9729731,148.0430544,134.812525,118.1125678,98.28424189,75.65868243,50.50348909,23.12928165,-5.721817199,-34.72799785,-62.38843283,-87.67521885,-110.4632919,-131.0141153,-149.3035302,-165.0230839,-177.5920574,-186.4317613,-191.1636853,-191.6642022,-187.9387565,-179.95141,-167.6550335,-151.2208925,-131.3251038,-109.1401887,-85.8374549,-62.18233411,-38.50954983,-15.0297714,7.948470049,29.8065512,49.90446016,67.91436752,83.83100154,97.54016834,108.7503443,117.2503027,123.0321923,126.1933785,126.7672236,124.7585197,120.2467533,113.433593,104.5806154,93.95599358,81.93908505
test2022,-9.45,298,0.041176911,0.166418395,0.375023071,0.666126607,1.038202276,1.488958017,2.015581293,2.615098967,3.28477458,4.022275681,4.825420272,5.692161481,6.623471877,7.620175383,8.675766776,9.779763576,10.9222557,12.09379015,13.28587274,14.49195378,15.70751325,16.92840995,18.15060345,19.37138918,20.59060801,21.81194517,23.04551291,24.31520507,25.67543165,27.21808059,27.93377908,17.10787338,-18.26258777,-60.05317475,-83.90958234,-91.1204002,-84.61234376,-69.81048674,-51.37388431,-31.93353991,-13.06200391,4.36866535,19.79349929,32.24903498,39.62860854,39.42565821,30.85926983,15.79328532,-2.492319975,-21.04572426,-37.76290313,-50.18267943,-52.9621727,-33.96355087,19.18942464,104.3498886,181.8933019,229.33714,252.7011027,256.2371617,243.6820939,218.4137148,184.0001921,144.7090154,104.0784722,64.84860351,28.42276301,-4.616722748,-34.48164377,-61.67606649,-86.36293536,-108.0062379,-126.3935475,-140.9986449,-150.7459567,-154.3617865,-151.3798591,-143.0228735,-130.5601266,-115.168488,-97.93971328,-79.67414822,-61.04882889,-42.6634652,-25.21140534,-9.318135361,4.668577136,16.54391176,26.19900893,33.7558153,39.41329058,43.35034698,45.77637784,46.9606323,47.19697278,46.75757232,45.85170309,44.56680745,42.83542639,40.58684282,37.91268309,34.97949157,31.90293648,28.69744952,25.31425061,21.78170381,18.20877498,14.78928238,11.76401495,9.266992822,7.257729484,5.556149125,3.88704704,1.972645257,-0.417045217,-3.409245327,-7.008606587,-11.10271313,-15.48595488,-19.91406757,-24.16313882,-28.04423022,-31.39353634,-34.08860181,-36.03809345,-37.1697558,-37.45156627,-36.90774766,-35.59050162,-33.56395702,-30.9144336,-27.71477759,-24.02412308,-19.90415254,-15.46083429,-10.83478743,-6.215910869,-1.847744117,2.060325543,5.410965752,8.205995082,10.44578097,12.08311715,13.09022725,13.52139007,13.49801489,13.16168254,12.60396718,11.8297811,10.84301334,9.68966276,8.441232742,7.168816265,5.961001016,4.91703747,4.12744931,3.612897658,3.28301411,3.035375019,2.809986629
test3005,-10.91,298,0.059491592,0.240930262,0.544173251,0.968992756,1.515108789,2.181765668,2.966977575,3.86789054,4.882469715,6.007902519,7.239843451,8.574208098,10.01055598,11.54825369,13.18017635,14.89396477,16.67699557,18.5177889,20.40527756,22.32886236,24.27957254,26.25126401,28.23804627,30.23734687,32.25320462,34.29672157,36.39083552,38.57803793,40.93488732,43.50491504,43.50459598,23.40647664,-29.05834298,-74.05297229,-94.76698826,-94.21007501,-80.36741511,-58.98709507,-35.3278988,-13.85106981,5.357789892,22.76735404,38.60951309,52.11268236,60.56182079,60.0390606,48.43470785,27.58984713,2.258796783,-22.48779465,-42.20858243,-52.96645337,-49.44230089,-25.24020415,21.92049239,85.59761808,147.4122699,199.5669146,236.9905337,255.8354015,257.8084056,244.566788,219.0061563,185.4411244,147.769169,109.1321811,71.63008088,36.23508778,2.998860882,-27.763585,-56.19931085,-82.31917232,-105.749002,-125.7218452,-141.4269782,-152.4351736,-158.6963745,-160.1903461,-156.8984133,-149.3273957,-138.1932031,-124.3146848,-108.4230889,-91.17680071,-73.23002614,-55.27600526,-38.08522627,-22.31532944,-8.266058262,4.191444905,15.41130735,25.62058996,34.93766631,43.38705075,50.87018147,57.2157086,62.33770187,66.24708062,68.99252834,70.52653767,70.65652055,69.28993416,66.51069147,62.46303377,57.34685589,51.40764603,44.93462036,38.24427541,31.62028144,25.29354586,19.37977829,13.80003332,8.368462054,2.880165989,-2.812968361,-8.724841444,-14.72648417,-20.61400008,-26.19577211,-31.32032985,-35.89041091,-39.83356361,-43.10523734,-45.66296457,-47.4398824,-48.37103593,-48.40279046,-47.53196044,-45.85482961,-43.49100007,-40.54846558,-37.10145359,-33.18171182,-28.79200679,-23.93085296,-18.63177513,-12.96668132,-7.039039428,-0.998626981,4.934418148,10.50184445,15.45408718,19.56180807,22.6628504,24.71796845,25.80322653,26.07392328,25.71657359,24.89178561,23.70965161,22.23335189,20.49277527,18.4859461,16.21107589,13.7219339,11.12691943,8.530794797,6.009441029,3.600254338,1.327436355
