Mol,HFE,Temp,kh_w_40,kh_w_80,kh_w_120,kh_w_160,kh_w_200,kh_w_240,kh_w_280,kh_w_320,kh_w_360,kh_w_400,kh_w_440,kh_w_480,kh_w_520,kh_w_560,kh_w_600,kh_w_640,kh_w_680,kh_w_720,kh_w_760,kh_w_800,kh_w_840,kh_w_880,kh_w_920,kh_w_960,kh_w_1000,kh_w_1040,kh_w_1080,kh_w_1120,kh_w_1160,kh_w_1200,kh_w_1240,kh_w_1280,kh_w_1320,kh_w_1360,kh_w_1400,kh_w_1440,kh_w_1480,kh_w_1520,kh_w_1560,kh_w_1600,kh_w_1640,kh_w_1680,kh_w_1720,kh_w_1760,kh_w_1800,kh_w_1840,kh_w_1880,kh_w_1920,kh_w_1960,kh_w_2000,kh_w_2040,kh_w_2080,kh_w_2120,kh_w_2160,kh_w_2200,kh_w_2240,kh_w_2280,kh_w_2320,kh_w_2360,kh_w_2400,kh_w_2440,kh_w_2480,kh_w_2520,kh_w_2560,kh_w_2600,kh_w_2640,kh_w_2680,kh_w_2720,kh_w_2760,kh_w_2800,kh_w_2840,kh_w_2880,kh_w_2920,kh_w_2960,kh_w_3000,kh_w_3040,kh_w_3080,kh_w_3120,kh_w_3160,kh_w_3200,kh_w_3240,kh_w_3280,kh_w_3320,kh_w_3360,kh_w_3400,kh_w_3440,kh_w_3480,kh_w_3520,kh_w_3560,kh_w_3600,kh_w_3640,kh_w_3680,kh_w_3720,kh_w_3760,kh_w_3800,kh_w_3840,kh_w_3880,kh_w_3920,kh_w_3960,kh_w_4000,kh_w_4040,kh_w_4080,kh_w_4120,kh_w_4160,kh_w_4200,kh_w_4240,kh_w_4280,kh_w_4320,kh_w_4360,kh_w_4400,kh_w_4440,kh_w_4480,kh_w_4520,kh_w_4560,kh_w_4600,kh_w_4640,kh_w_4680,kh_w_4720,kh_w_4760,kh_w_4800,kh_w_4840,kh_w_4880,kh_w_4920,kh_w_4960,kh_w_5000,kh_w_5040,kh_w_5080,kh_w_5120,kh_w_5160,kh_w_5200,kh_w_5240,kh_w_5280,kh_w_5320,kh_w_5360,kh_w_5400,kh_w_5440,kh_w_5480,kh_w_5520,kh_w_5560,kh_w_5600,kh_w_5640,kh_w_5680,kh_w_5720,kh_w_5760,kh_w_5800,kh_w_5840,kh_w_5880,kh_w_5920,kh_w_5960,kh_w_6000,kh_w_6040,kh_w_6080,kh_w_6120,kh_w_6160,kh_w_6200,kh_w_6240,kh_w_6280,kh_w_6320,kh_w_6360,kh_w_6400
0123dim,-4.86,298,0.042127079,0.170785607,0.386387491,0.689159829,1.078672824,1.553430092,2.111028992,2.750295968,3.471044646,4.270843925,5.14545882,6.09045342,7.100266347,8.169331441,9.295574027,10.47708467,11.70684693,12.97506547,14.27078964,15.58261902,16.90226702,18.22436314,19.54549196,20.8649136,22.18605267,23.51829462,24.8770899,26.28797392,27.79853151,29.47148453,31.35746125,33.349185,32.34379545,16.24287176,-17.36745596,-44.81542381,-52.83514857,-48.0923524,-35.33512036,-18.62676214,-2.271358651,12.87048227,26.62203043,38.5002952,46.86192904,49.178535,44.00057562,32.51805811,17.94452477,3.698984466,-7.905162521,-15.76045497,-20.19314578,-20.74039236,-14.71673452,1.308122696,28.02358067,61.63310878,95.53718073,120.3269468,133.3374581,136.4804495,131.6384254,120.6860723,105.8298546,88.68287901,70.46307572,52.0265845,33.74623319,15.64952929,-1.92055785,-18.419872,-33.74697858,-47.7278746,-60.11154988,-70.63364184,-78.99694494,-84.95198674,-88.40642238,-89.49276502,-88.50320788,-85.60206532,-80.6933121,-73.84581797,-65.48360393,-56.18471727,-46.5910882,-37.29210769,-28.59859862,-20.54008539,-12.98790895,-5.805500733,1.058145824,7.562935533,13.59059016,19.11879452,24.18652339,28.86008629,33.20090751,37.20240941,40.76115383,43.64014842,45.64507117,46.7650306,47.00866849,46.37969183,44.899303,42.61721567,39.63896187,36.1205225,32.27090743,28.27656925,24.16369134,19.8191815,15.06565643,9.785255947,4.048781289,-2.012722152,-8.240526403,-14.46028277,-20.49664379,-26.1955886,-31.40395765,-35.96133436,-39.75487062,-42.70370622,-44.76733655,-45.94525498,-46.24872237,-45.73063145,-44.46653947,-42.50525296,-39.84773057,-36.49587977,-32.47376511,-27.8329361,-22.64512025,-16.98180205,-10.93457913,-4.644528496,1.697334477,7.843705944,13.49445687,18.39207614,22.35581849,25.31357678,27.29788754,28.39822533,28.72549334,28.39781334,27.52584378,26.21457416,24.55486949,22.62598583,20.49566963,18.21854826,15.83159571,13.36401367,10.84232349,8.294544838
test4006,-0.59,298,0.033521264,0.135666751,0.306061558,0.544226194,0.849490158,1.220661419,1.655650163,2.151326497,2.703943275,3.309786392,3.965674624,4.668954982,5.416613791,6.204993681,7.030046386,7.887550588,8.773166027,9.682537936,10.61147329,11.55586454,12.51178912,13.47589915,14.4454457,15.41958633,16.40096149,17.39632907,18.41690123,19.4806751,20.61578243,21.85237154,23.2080471,24.68411458,26.2713837,27.95672399,29.7146468,31.48595176,33.19322298,34.79860763,36.31418788,37.69270889,38.66788788,38.85145169,37.94610737,35.53613406,30.86031849,23.23283937,12.7396929,0.485090798,-11.84412434,-22.66278469,-31.13358597,-36.95526539,-40.45358119,-42.20726047,-42.68740797,-42.14525937,-40.66998991,-38.341482,-35.29759913,-31.42464302,-25.80412016,-16.51047534,-2.020748229,17.72987151,38.7510665,53.34494551,62.49051271,67.4175942,69.00319519,67.92619205,64.7359242,59.91244529,53.8781063,47.01354728,39.64668617,32.02413198,24.34183372,16.76629474,9.432751899,2.474647967,-3.960548507,-9.686216525,-14.48663445,-18.14570447,-20.47843591,-21.66135428,-21.97102748,-21.66144876,-20.96057325,-20.07225371,-19.17298258,-18.3983967,-17.84758329,-17.54637572,-17.47862765,-17.59496201,-17.81889603,-18.08155408,-18.33493922,-18.54837624,-18.70024744,-18.76621821,-18.71254958,-18.49479632,-18.06758991,-17.38702021,-16.41546983,-15.12327485,-13.51019238,-11.608157,-9.478030406,-7.200015011,-4.852425668,-2.495622331,-0.158055615,2.160343228,4.468265289,6.750652287,8.918062751,10.86339236,12.49629561,13.75050583,14.58062698,14.96222149,14.89067214,14.38491318,13.4991746,12.31815416,10.91116424,9.331017205,7.633805831,5.877120701,4.117779805,2.408080794,0.795603262,-0.677530482,-1.975495913,-3.069263321,-3.938297003,-4.572934295,-4.976993168,-5.171873671,-5.194910915,-5.088823478,-4.890905464,-4.629500434,-4.326100254,-3.995898797,-3.653388764,-3.316589299,-3.008262774,-2.753823032,-2.572718673,-2.477493931,-2.460098134,-2.498389772,-2.568125388,-2.645254801,-2.706949702,-2.732802912
0055ocr,-5.87,298,0.041847071,0.169617484,0.383436111,0.683192632,1.068198771,1.536752047,2.086147224,2.713328912,3.418031292,4.20321992,5.064891152,5.99634243,6.990349214,8.040461618,9.140870547,10.28597708,11.46960844,12.68399848,13.92198978,15.17391549,16.4301825,17.68638525,18.93944718,20.18757077,21.43263345,22.68238659,23.93427853,20.65235772,-30.73218359,-69.46125892,-77.84179878,-67.66489858,-47.71578642,-24.77228831,-2.813471521,10.0484502,16.90431677,22.05344286,27.53573166,33.9374958,41.08282067,48.52457644,55.7147347,61.54541428,63.55927834,58.61142953,45.34929542,25.6368229,2.76030014,-20.17345495,-39.37124613,-52.84875185,-57.7276991,-49.34646599,-25.21826283,10.6335053,42.5337294,68.03537435,87.98991979,102.0776653,109.7348909,110.25293,104.3266438,93.84941977,80.46898008,65.63283587,50.28476299,34.98630602,19.86280923,5.267654575,-8.542329553,-21.46986305,-33.22866362,-43.27880246,-50.89425259,-55.6785628,-57.88881781,-58.17741224,-56.98030164,-54.39566005,-50.57694595,-45.66973941,-39.76817661,-33.01979098,-25.71185819,-18.27604482,-11.12993048,-4.650769196,0.836061806,5.099051709,8.066045207,9.774036522,10.33072553,10.04320993,9.25277499,8.264155068,7.309780057,6.546998424,6.044832483,5.780608611,5.681457129,5.704882489,5.774734738,5.796718945,5.762347283,5.649192698,5.542524201,5.564257549,5.825821015,6.388728913,7.204358692,8.128949554,8.965943385,9.508669217,9.535373485,8.897298322,7.635143962,5.866343765,3.757372368,1.546296623,-0.685065345,-2.845136301,-4.856787167,-6.681284258,-8.259369686,-9.54633135,-10.51310584,-11.16899473,-11.55429713,-11.71870953,-11.69871834,-11.48811843,-11.04973943,-10.29924291,-9.191074013,-7.814256568,-6.297007752,-4.790047526,-3.441447231,-2.35086755,-1.541046051,-0.941982384,-0.492379541,-0.178656037,0.041445991,0.214662433,0.353985484,0.444013617,0.463186802,0.396395193,0.232556453,-0.028524545,-0.370142095,-0.765299999,-1.183581343,-1.594599094,-1.976895421,-2.314010712,-2.587060804,-2.77577002
0026cyc,0.56,298,0.037336095,0.151120281,0.340941226,0.605832148,0.943770784,1.351214247,1.823154916,2.353564104,2.936124741,3.565065958,4.235875084,4.945804724,5.693892752,6.480512915,7.306692208,8.173139355,9.079053454,10.0216558,10.99636657,11.99738466,13.01844586,14.05366023,15.0983686,16.15057176,17.21270633,18.29305302,19.40550601,20.57238462,21.83476102,23.24981683,24.8709812,26.73463222,28.85473548,31.12638214,33.00074036,33.62539535,32.83604542,31.44863839,30.48950935,30.5503593,31.72493053,33.81548781,36.47489236,38.98278341,39.63344988,35.88740204,26.07834668,10.95846174,-6.694242615,-23.72925798,-37.6644952,-47.35736802,-53.47815139,-56.64812964,-56.84371839,-53.46592936,-45.93244379,-34.39536943,-19.97121056,-4.381868057,10.61070673,23.75293622,34.0623112,41.47302495,46.40126447,49.13043957,50.02367394,49.30984933,47.12024285,43.58687997,38.89811595,33.30653603,27.09129689,20.52598967,13.86887184,7.385214505,1.288829101,-4.191680254,-8.848908394,-12.51270008,-15.0838817,-16.52747784,-16.88114103,-16.24800644,-14.772481,-12.62995869,-10.01352778,-7.140064943,-4.25859101,-1.653766295,0.380842374,1.612724401,1.93583831,1.388689758,0.120217739,-1.66280518,-3.757804801,-5.994775408,-8.221226816,-10.28155454,-12.00638009,-13.23018425,-13.8304638,-13.75739376,-13.04560871,-11.82044626,-10.24516171,-8.461934897,-6.56825277,-4.625951085,-2.681612663,-0.791819824,0.973482396,2.532758875,3.807857234,4.742027998,5.305598505,5.495436394,5.327289485,4.825154269,4.015281674,2.929068004,1.61069531,0.123050366,-1.45199017,-3.020849873,-4.488272846,-5.777529326,-6.832864495,-7.620205358,-8.1218549,-8.332655366,-8.258086277,-7.914778245,-7.330855447,-6.546380352,-5.606630265,-4.55944133,-3.450920879,-2.323516116,-1.213177815,-0.148642469,0.843893217,1.741097541,2.523189302,3.174577152,3.68556876,4.052570139,4.277642626,4.367776075,4.333884713,4.191168842,3.957448118,3.65190173,3.294144096,2.902507453,2.493383147,2.080804941,1.675663624,1.285762179
test1049,-16.4,298,0.056342397,0.227644963,0.512833291,0.911016636,1.421078105,2.041510007,2.770730734,3.607703762,4.552279258,5.602997563,6.755675672,8.005753761,9.352773326,10.79275669,12.31169798,13.89558361,15.53299135,17.21408565,18.92793971,20.66356819,22.41358469,24.17352079,25.93834881,27.70298095,29.46782217,31.24162539,33.03897422,34.88653962,36.84141151,38.92706208,37.13355746,4.176383814,-77.35124363,-143.5656599,-170.7807529,-171.585451,-153.3251514,-122.4963313,-88.30131435,-56.16575186,-27.18491957,-1.474916293,21.08756489,39.93175702,52.86054411,57.03193012,51.6853517,39.29313477,23.98507068,9.348202612,-1.949403913,-7.736321858,-1.874262346,28.13578804,93.25666252,189.0265043,272.3070165,324.6486818,353.7789453,362.6106372,352.0844326,325.4289327,286.4093037,239.5013151,188.3921106,135.896816,84.13178137,34.50417922,-12.49855194,-56.32623159,-96.13421756,-131.5236972,-162.3865899,-187.9550002,-206.9220923,-217.9806418,-220.6678506,-216.1857451,-205.798248,-190.9017497,-172.6558108,-152.2326391,-130.6761332,-108.9029196,-87.70652438,-67.73951385,-49.48130328,-33.11653113,-18.68415335,-6.14730742,4.597769329,13.69724989,21.26975055,27.39648089,32.17457928,35.77724003,38.43095275,40.30517317,41.50774512,42.16156081,42.35164003,42.12089066,41.58806428,40.87488874,39.96160543,38.82549791,37.53595074,36.20904543,34.89221126,33.53499344,32.09410261,30.55787717,28.88170659,27.06458729,25.04233403,22.48324362,19.05247494,14.58030795,9.023161721,2.421631968,-5.050931397,-13.0160667,-20.86007507,-28.06750028,-34.40955955,-39.74405818,-43.97197058,-46.91735643,-48.46739759,-48.64795232,-47.53142853,-45.26511476,-41.89541302,-37.42897589,-31.91155612,-25.50073099,-18.51146761,-11.33201102,-4.324389565,2.241870165,8.181130359,13.33389049,17.63117153,21.04844853,23.52740687,25.18108398,26.30474967,27.05824468,27.38990381,27.11585732,26.05513981,24.17784444,21.71902032,18.93791985,15.99622187,12.95032783,9.817861797,6.612991182,3.373275946,0.196134665
0411chp,0.07,298,0.057700489,0.233073353,0.524503917,0.930129018,1.448173579,2.076479529,2.811376931,3.64683411,4.574748548,5.586248816,6.673074393,7.828052392,9.044621334,10.31591136,11.63488862,12.99452204,14.38783394,15.80798044,17.24798864,18.70042611,20.15750133,21.61171958,23.05684819,24.48953883,25.91193397,27.33359908,28.77290785,30.26350379,31.86448728,33.6410925,35.62709829,37.81395804,40.16665268,42.63926028,45.14857927,47.46315182,49.08704994,49.4919058,48.67074636,47.19641881,45.73090483,44.66861674,44.00387956,43.1126401,40.45973297,33.90594846,22.15282186,6.047824379,-11.77240383,-28.40089692,-41.90385921,-51.41084383,-57.35851335,-60.51075115,-61.38584264,-59.80037042,-54.59456131,-44.06027903,-27.34854941,-5.629999738,17.37378982,36.07689023,50.2575549,59.95328008,66.0376329,69.25676631,70.12835313,68.96064243,65.90778187,61.13137064,54.85837658,47.40700262,39.13712336,30.40318629,21.49526693,12.72684161,4.372598356,-3.408296618,-10.41802932,-16.4505872,-21.3253323,-24.98518264,-27.4514062,-28.78020639,-29.10127137,-28.59888207,-27.47940954,-25.9530226,-24.22770369,-22.50607372,-20.97935729,-19.79482122,-19.02808227,-18.67250674,-18.6398426,-18.79164661,-18.94657949,-18.92286699,-18.61182094,-17.99152726,-17.10156882,-16.01789506,-14.82129479,-13.57869107,-12.31686124,-11.02155216,-9.636378319,-8.078567368,-6.277806477,-4.177952868,-1.779780972,0.849792865,3.591384572,6.304206185,8.860849186,11.17264516,13.18810689,14.85299146,16.11947138,16.92785703,17.23354464,17.03115167,16.3441435,15.21690362,13.70587188,11.873976,9.788172063,7.516542327,5.125904349,2.681201287,0.255188249,-2.069574337,-4.221665116,-6.138601641,-7.77314542,-9.104846893,-10.13065282,-10.85792896,-11.30161687,-11.48038217,-11.41350087,-11.11878687,-10.61209717,-9.910143358,-9.03339626,-8.00355631,-6.84710282,-5.595814008,-4.291234961,-2.98752786,-1.751268602,-0.653132512,0.250980996,0.943251097,1.443907062,1.7897867,2.01922044,2.159532688,2.226153902,2.226668563
test1030,-5.5,298,0.117720914,0.477370299,1.079698431,1.924195735,3.007564838,4.321528832,5.851621186,7.578323999,9.480163399,11.53574102,13.72684637,16.04078227,18.46831349,21.00055146,23.62509107,26.32538855,29.08290302,31.87928499,34.69762273,37.52148091,40.33558056,43.12930243,45.89908514,48.65049714,51.39859826,54.16195357,56.95636774,59.79688307,62.71176617,65.74735477,68.62327042,68.16979161,59.034357,44.89461105,36.65943215,36.76704854,41.82373157,49.52047148,58.23479141,66.21865188,72.96169979,78.41076156,82.04262914,81.92078113,74.91246337,58.84591614,34.98234257,8.927470387,-14.58783626,-32.26393933,-43.72176286,-48.52313975,-45.01826478,-31.7009103,-9.684081354,17.83620211,45.05613367,73.04425725,102.2418627,128.891329,144.2059408,148.3908203,144.8122396,135.9310007,123.5209783,108.9116173,93.00877898,76.33478938,59.40885794,42.58652911,26.04355572,10.02333517,-4.92035993,-18.32310407,-29.99018356,-39.83701776,-47.91446636,-54.31656295,-59.00425328,-61.89084643,-63.02128041,-62.59121465,-60.79986898,-57.83676093,-53.93952169,-49.43589877,-44.70793555,-40.15271316,-36.08779957,-32.70007383,-30.05259218,-28.16485672,-26.99275014,-26.35981408,-25.97398798,-25.60868154,-25.19613982,-24.68445019,-23.95048378,-22.84272539,-21.21412417,-18.97636731,-16.11804807,-12.68774656,-8.776160954,-4.549417804,-0.21079942,4.086579364,8.170059801,11.84511861,14.92318898,17.25316626,18.7718519,19.51720038,19.56058237,18.99358792,17.94013327,16.48583965,14.70933174,12.66991691,10.40705313,7.973346355,5.411337718,2.747576858,0.027624248,-2.699672453,-5.413195538,-8.117370031,-10.82962758,-13.5095969,-16.00276504,-18.15272741,-19.84433265,-21.03162605,-21.71075387,-21.87691598,-21.49718179,-20.52984109,-18.98901393,-17.00152288,-14.76910625,-12.47375488,-10.22424811,-8.110596397,-6.220057919,-4.626211937,-3.360489231,-2.425219455,-1.786669658,-1.397292696,-1.206669705,-1.146445838,-1.127651032,-1.068387295,-0.914653687,-0.638852499,-0.250727556,0.225792954,0.759357474,1.320914303
test1023,-5.7,298,0.117590805,0.476423652,1.075648174,1.912518448,2.982782929,4.280367788,5.796059078,7.517302915,9.431553089,11.52812725,13.79589715,16.22467813,18.80777244,21.53627131,24.39351575,27.36165,30.42716624,33.57962222,36.80702511,40.09399081,43.42750583,46.80168311,50.21693178,53.67987679,57.20534223,60.81448463,64.52947195,68.37542086,72.39347488,76.55952446,77.1712788,50.04689206,-24.51233029,-102.9034054,-138.474164,-138.6543348,-126.5106603,-120.8733824,-121.7257441,-117.2543496,-102.622579,-81.05276963,-58.59266644,-41.87962611,-37.28726061,-47.97502712,-70.77289834,-97.09487196,-119.0012422,-130.4543386,-127.6092659,-103.8715377,-46.04575259,53.87452108,184.0315724,301.8400294,392.9769148,468.5862943,539.4344263,607.8051368,660.8159015,679.0061079,661.0412221,613.0861933,544.3968298,462.0316805,371.2865336,277.2064195,183.4814253,92.57893275,6.045007083,-74.00880997,-146.1612059,-209.5446497,-263.4580201,-307.8254109,-343.1271016,-369.3845229,-386.0926815,-393.19343,-391.4749539,-381.9918849,-366.1126466,-345.3778263,-321.0828456,-294.168658,-265.3692651,-235.2852418,-204.4397402,-173.3674595,-142.7265367,-113.0671272,-84.57328571,-57.17529523,-30.81554423,-5.495243677,18.84734061,42.32857176,64.93343983,86.32535442,105.7956817,122.6756236,136.7652652,148.3086462,157.7722475,165.4034084,171.2123328,175.090395,176.8433747,176.4421999,174.2043712,170.4705318,165.1993044,157.9301515,147.9892754,134.7489712,118.0395673,98.20381624,75.57375485,50.41583485,23.04044021,-5.812170811,-34.82113923,-62.48504001,-87.77449642,-110.5634471,-131.1131063,-149.3996652,-165.115923,-177.6867678,-186.5348156,-191.2781696,-191.791629,-188.0795739,-180.1048517,-167.8189607,-151.3926505,-131.5017548,-109.3198545,-86.01832324,-62.36151148,-38.68338549,-15.19489504,7.794216657,29.66290257,49.77023972,67.78865902,83.71279586,97.42897237,108.6454398,117.1497679,122.9333314,126.0932743,126.6632265,124.6486817,120.1300501,113.3105889,104.453017,93.82607422,81.80923132
test2022,-9.45,298,0.041176911,0.166418395,0.375023071,0.666126607,1.038202276,1.488958017,2.015581293,2.615098967,3.28477458,4.022275681,4.825420272,5.692161481,6.623471877,7.620175383,8.675766776,9.779763576,10.9222557,12.09379015,13.28587274,14.49195378,15.70751325,16.92840995,18.15060345,19.37138918,20.59060801,21.81194517,23.04551291,24.31520507,25.67543165,27.21808059,27.93377908,17.10787338,-18.26258777,-60.05700745,-83.93996156,-91.13182188,-84.61234376,-69.81048674,-51.37388431,-31.93353991,-13.06200391,4.36866535,19.79349929,32.24903498,39.62860854,39.42565821,30.85926983,15.79328532,-2.492319975,-21.04572426,-37.77089202,-50.22387341,-53.03306084,-34.04705049,19.10812098,104.2794325,181.4967872,228.3522569,251.2431087,254.5337778,241.9512769,216.7881375,182.5120404,143.4002778,102.9674338,63.91197653,27.63340391,-5.281579412,-35.04601864,-62.16954143,-86.81689236,-108.4429822,-126.8247238,-141.4266147,-151.1581044,-154.7383486,-151.7062312,-143.2991573,-130.7976884,-115.3819635,-98.13162164,-79.8437548,-61.19719749,-42.79196148,-25.32186714,-9.413267687,4.58522564,16.46930983,26.13309888,33.69955005,39.36704565,43.31372613,45.74857259,46.94019531,47.18169989,46.74478703,45.83877313,44.55274835,42.81960927,40.5689478,37.89299697,34.95895067,31.88275848,28.67854195,25.29606033,21.76303766,18.18252534,14.74721855,11.70077015,9.180096902,7.14689292,5.422823329,3.73454003,1.805934953,-0.593770552,-3.594320687,-7.200952889,-11.30181213,-15.69286059,-20.13084204,-24.39122158,-28.28347752,-31.64385646,-34.34980633,-36.30924007,-37.4489173,-37.73535164,-37.19203199,-35.87154969,-33.83890573,-31.18215729,-27.97473309,-24.27515487,-20.14401196,-15.68575621,-11.04185503,-6.403115959,-2.014166072,1.914569288,5.284728802,8.097507063,10.35268819,12.00255511,13.02017413,13.46030429,13.44440643,13.11410099,12.56101135,11.79021501,10.8059389,9.654260511,8.40688938,7.13542498,5.928882018,4.886611587,4.098989272,3.586617459,3.259071404,3.013763018,2.790609014
test3005,-10.91,298,0.059491592,0.240930262,0.544173251,0.968992756,1.515108789,2.181765668,2.966977575,3.86789054,4.882469715,6.007902519,7.239843451,8.574208098,10.01055598,11.54825369,13.18017635,14.89396477,16.67699557,18.5177889,20.40527756,22.32886236,24.27957254,26.25126401,28.23804627,30.23734687,32.25320462,34.29672157,36.39083552,38.57803793,40.93488732,43.50491504,43.50459598,23.40647664,-29.07392693,-74.2806058,-95.08430979,-94.44508954,-80.45815444,-58.99351481,-35.3278988,-13.85106981,5.357789892,22.76735404,38.60951309,52.11268236,60.56182079,60.0390606,48.43470785,27.58984713,2.258796783,-22.4909056,-42.27399344,-53.1694604,-49.75678296,-25.59583863,21.58842714,85.31368743,147.0697497,199.1452655,236.5138218,255.30996,257.2766369,243.9934467,218.3138173,184.6243919,146.8460861,108.1037223,70.49566398,35.01165622,1.719993475,-29.04310816,-57.42728506,-83.45862132,-106.7803907,-126.6422713,-142.2461735,-153.1669351,-159.3551246,-160.7858952,-157.4350037,-149.8043658,-138.6062053,-124.6625483,-108.71078,-91.41027458,-73.41483988,-55.41856695,-38.19348229,-22.39778131,-8.328196888,4.144097287,15.37448952,25.59205174,34.9162282,43.37217672,50.86116666,57.2109502,62.33341768,66.23778068,68.97458102,70.49872589,70.61820642,69.24209293,66.45528665,62.40263272,57.28434412,51.34537949,44.87434594,38.1878236,31.56897529,25.24792562,19.33971177,13.76559954,8.338700204,2.853217736,-2.838710138,-8.750524266,-14.75188304,-20.63874393,-26.21995412,-31.34347766,-35.91213179,-39.85378682,-43.12466818,-45.68301309,-47.46130428,-48.39393553,-48.42717994,-47.55903695,-45.88578801,-43.5265604,-40.58941257,-37.14875779,-33.23585568,-28.85312157,-23.99836669,-18.70444085,-13.0424255,-7.115031823,-1.071651252,4.867047324,10.4420204,15.40301851,19.52004946,22.63000325,24.69317496,25.78573375,26.06273495,25.71013393,24.88824263,23.70739736,22.23177194,20.49124206,18.48404172,16.20868753,13.71896312,11.12328999,8.526518252,6.004665895,3.595200522,1.322298251
