Mol,HFE,Temp,gf_w_40,gf_w_80,gf_w_120,gf_w_160,gf_w_200,gf_w_240,gf_w_280,gf_w_320,gf_w_360,gf_w_400,gf_w_440,gf_w_480,gf_w_520,gf_w_560,gf_w_600,gf_w_640,gf_w_680,gf_w_720,gf_w_760,gf_w_800,gf_w_840,gf_w_880,gf_w_920,gf_w_960,gf_w_1000,gf_w_1040,gf_w_1080,gf_w_1120,gf_w_1160,gf_w_1200,gf_w_1240,gf_w_1280,gf_w_1320,gf_w_1360,gf_w_1400,gf_w_1440,gf_w_1480,gf_w_1520,gf_w_1560,gf_w_1600,gf_w_1640,gf_w_1680,gf_w_1720,gf_w_1760,gf_w_1800,gf_w_1840,gf_w_1880,gf_w_1920,gf_w_1960,gf_w_2000,gf_w_2040,gf_w_2080,gf_w_2120,gf_w_2160,gf_w_2200,gf_w_2240,gf_w_2280,gf_w_2320,gf_w_2360,gf_w_2400,gf_w_2440,gf_w_2480,gf_w_2520,gf_w_2560,gf_w_2600,gf_w_2640,gf_w_2680,gf_w_2720,gf_w_2760,gf_w_2800,gf_w_2840,gf_w_2880,gf_w_2920,gf_w_2960,gf_w_3000,gf_w_3040,gf_w_3080,gf_w_3120,gf_w_3160,gf_w_3200,gf_w_3240,gf_w_3280,gf_w_3320,gf_w_3360,gf_w_3400,gf_w_3440,gf_w_3480,gf_w_3520,gf_w_3560,gf_w_3600,gf_w_3640,gf_w_3680,gf_w_3720,gf_w_3760,gf_w_3800,gf_w_3840,gf_w_3880,gf_w_3920,gf_w_3960,gf_w_4000,gf_w_4040,gf_w_4080,gf_w_4120,gf_w_4160,gf_w_4200,gf_w_4240,gf_w_4280,gf_w_4320,gf_w_4360,gf_w_4400,gf_w_4440,gf_w_4480,gf_w_4520,gf_w_4560,gf_w_4600,gf_w_4640,gf_w_4680,gf_w_4720,gf_w_4760,gf_w_4800,gf_w_4840,gf_w_4880,gf_w_4920,gf_w_4960,gf_w_5000,gf_w_5040,gf_w_5080,gf_w_5120,gf_w_5160,gf_w_5200,gf_w_5240,gf_w_5280,gf_w_5320,gf_w_5360,gf_w_5400,gf_w_5440,gf_w_5480,gf_w_5520,gf_w_5560,gf_w_5600,gf_w_5640,gf_w_5680,gf_w_5720,gf_w_5760,gf_w_5800,gf_w_5840,gf_w_5880,gf_w_5920,gf_w_5960,gf_w_6000,gf_w_6040,gf_w_6080,gf_w_6120,gf_w_6160,gf_w_6200,gf_w_6240,gf_w_6280,gf_w_6320,gf_w_6360,gf_w_6400
0123dim,-4.86,298,0.027865149,0.112605821,0.253590017,0.450109793,0.701357775,1.006048313,1.362041512,1.766297331,2.215354116,2.705984654,3.235613943,3.802134585,4.403079039,5.034662167,5.691581116,6.367300969,7.054197983,7.744443991,8.430762934,9.106506209,9.765465558,10.4018706,11.0107765,11.58937748,12.13941357,12.6693447,13.19704153,13.75949713,14.41365614,15.20992048,16.1712979,17.29702502,18.54900356,19.61321535,19.62222221,18.05896588,15.67453276,13.69789821,12.81749919,13.07516546,14.20969836,15.91951681,17.90737921,19.67827203,20.17590629,17.91364078,11.87684728,2.335815985,-9.177913668,-20.60060194,-30.06473464,-36.61699684,-40.51479229,-41.95241501,-40.39611034,-34.81016206,-24.65563101,-10.80137162,4.612010686,19.12882335,30.29727627,37.53484013,41.45756171,42.80196802,42.24368518,40.30168739,37.31406187,33.50350053,29.0362693,24.05821344,18.71759341,13.2476162,7.80743342,2.487476687,-2.630991351,-7.456690855,-11.87950047,-15.77243861,-19.01257919,-21.50637897,-23.20525458,-24.10004298,-24.19944768,-23.5616313,-22.31561897,-20.65740559,-18.80601619,-16.97242817,-15.31380899,-13.91688578,-12.80318851,-11.94818498,-11.2991579,-10.79126099,-10.35388772,-9.920445794,-9.417651062,-8.781994699,-7.972737234,-6.988449021,-5.862824296,-4.646378543,-3.385072057,-2.105031386,-0.841514582,0.377222573,1.516744772,2.540238138,3.426805198,4.183932336,4.839490367,5.423634599,5.92398557,6.276630511,6.397977827,6.224014945,5.738652268,4.967824418,3.952075184,2.739718416,1.37883179,-0.078859112,-1.577911279,-3.059803492,-4.464397695,-5.736529947,-6.841605414,-7.762281451,-8.494337988,-9.039391798,-9.400311195,-9.57860053,-9.569501408,-9.369871741,-8.984593004,-8.427239152,-7.716030918,-6.869295964,-5.900666201,-4.824245737,-3.663834166,-2.46455808,-1.296199265,-0.23560798,0.65841304,1.353615597,1.848701453,2.164590913,2.330912215,2.380630357,2.342687234,2.240549096,2.09391176,1.921477072,1.739349968,1.559343754,1.385998104,1.215351876,1.039760172,0.851099487
test4006,-0.59,298,0.023988589,0.096825096,0.217614838,0.385373595,0.599175815,0.85786875,1.159603762,1.501580936,1.880251619,2.291912273,2.733305111,3.201635289,3.693794313,4.206284691,4.735399132,5.27736544,5.828288811,6.384262558,6.941404088,7.495707259,8.042996727,8.579051759,9.0994871,9.601266446,10.08470511,10.55530539,11.02569052,11.52058017,12.07690334,12.72416933,13.46775781,14.29240737,15.17478883,16.09352618,17.02433925,17.92256835,18.72719946,19.40128451,19.95484596,20.42163032,20.81767133,21.12490737,21.3080635,21.27806968,20.7075101,18.91394498,15.17137796,9.271731562,1.822500154,-6.002282289,-13.01007793,-18.32561313,-21.99802092,-24.32507602,-25.51005008,-25.61718701,-24.65435394,-22.67742264,-19.83362412,-16.18886251,-11.48586972,-5.2578155,2.418050368,10.74392672,17.55200777,21.79345744,24.15566121,25.08674804,24.86648826,23.70122927,21.77902725,19.28634845,16.39494373,13.25942382,10.00698156,6.734126919,3.517789978,0.428500718,-2.469212095,-5.119972147,-7.465160939,-9.429129465,-10.92446009,-11.88228473,-12.2868841,-12.2318567,-11.82907051,-11.18779247,-10.41352803,-9.615629606,-8.906314696,-8.379165488,-8.07879683,-8.009968949,-8.148160803,-8.445889763,-8.832321632,-9.237666241,-9.601189718,-9.888551047,-10.08714615,-10.20252747,-10.24449805,-10.21527326,-10.10739361,-9.907318564,-9.599789471,-9.165387149,-8.585044043,-7.849698195,-6.968550646,-5.967650675,-4.881366473,-3.742059863,-2.571789201,-1.38327618,-0.188503309,0.989380362,2.103547815,3.102812365,3.94867915,4.615873145,5.089113882,5.361334448,5.434417575,5.31898682,5.041788346,4.637302039,4.129632342,3.539806556,2.891287862,2.208040549,1.514068569,0.832708279,0.18555101,-0.408209857,-0.932359403,-1.374181041,-1.725202914,-1.982022116,-2.147038533,-2.229568636,-2.244934428,-2.210519141,-2.141667916,-2.05009701,-1.944713408,-1.831888733,-1.717899481,-1.610824643,-1.521533604,-1.462875933,-1.444664639,-1.470910242,-1.532768759,-1.617556734,-1.711983818,-1.80269753,-1.876780248,-1.923476946
0055ocr,-5.87,298,0.023670358,0.096111214,0.217714043,0.388664473,0.608782978,0.87733904,1.192890007,1.553218312,1.956557239,2.403265235,2.891850684,3.418349738,3.978493117,4.568274604,5.183735697,5.819960466,6.46940233,7.123366046,7.773243627,8.409655123,9.023921182,9.611028844,10.16869139,10.69767992,11.20527172,11.71197754,12.21540364,10.30903731,-5.854043982,-25.77088554,-30.75330023,-26.96860705,-21.69683907,-19.30644412,-19.10985357,-17.47942955,-12.64202321,-5.523614622,2.392851017,10.03632376,16.85131472,22.62089772,27.26432046,30.52762761,31.60341632,29.26989298,22.75902251,12.4827059,-0.213357802,-13.70117202,-25.74791671,-34.0402205,-35.12878735,-24.78528683,-2.074395238,28.09796417,52.19726862,67.83254889,77.08989425,81.07424534,80.47569484,75.97054769,68.20899036,57.95684383,46.31196608,34.18661494,22.20867336,10.80026325,0.007659096,-10.00052181,-19.09883381,-27.33060397,-34.56811836,-40.47374749,-44.60843448,-46.7276338,-47.04140936,-46.05896893,-44.18958425,-41.6719535,-38.64443086,-35.17898156,-31.31871788,-27.13920418,-22.79249619,-18.47122538,-14.36695182,-10.65081794,-7.446465667,-4.822533267,-2.783813949,-1.277278779,-0.217839742,0.502391167,1.005569229,1.41239737,1.818913482,2.283571619,2.813580011,3.35928254,3.830909835,4.150285554,4.281034676,4.223519773,4.043215716,3.806457778,3.58354929,3.451939409,3.454906449,3.583806418,3.781614982,3.963528926,4.03994018,3.929983369,3.565665086,2.909119017,1.981468935,0.842072414,-0.431589483,-1.727647596,-2.956878171,-4.071751132,-5.044142799,-5.870386512,-6.542607973,-7.038798493,-7.336915049,-7.423115427,-7.304741245,-7.008823712,-6.569180598,-6.019105806,-5.377456991,-4.641680896,-3.806693844,-2.904358827,-1.987714537,-1.120142402,-0.368079265,0.223702765,0.636648108,0.883047192,0.993651636,0.991610888,0.908222595,0.776360887,0.618273617,0.440339564,0.240876513,0.011569991,-0.255432222,-0.562802625,-0.904967627,-1.267580516,-1.634384125,-1.988681295,-2.316175779,-2.605269405,-2.841667406,-3.011269478
0026cyc,0.56,298,0.022782574,0.092229397,0.208126261,0.369866581,0.576029051,0.823933791,1.109563542,1.427860408,1.773331656,2.140894563,2.526700873,2.928568513,3.34570772,3.778050833,4.22556385,4.68761935,5.162280457,5.646483817,6.136421042,6.627787374,7.115991336,7.596475508,8.065494671,8.521502679,8.967170188,9.411437115,9.872708965,10.38830562,11.01377105,11.79513639,12.74778196,13.85980272,15.10762095,16.4662857,17.8939334,19.27068534,20.38840568,21.10089766,21.45102139,21.61453937,21.7705925,22.02676613,22.39424508,22.68976181,22.28986795,20.09901371,15.11279753,7.162725299,-2.823631735,-13.24018241,-22.39117239,-29.05352765,-33.52225866,-36.20363247,-37.25203942,-36.4583259,-33.41031325,-27.91619103,-20.34442093,-11.60578267,-2.819130075,5.151442166,11.79272923,16.79300055,20.25477717,22.42856418,23.53698791,23.71127647,23.01631392,21.51554761,19.31176161,16.55599158,13.41860315,10.06633944,6.637564425,3.246321448,0.006268645,-2.94811656,-5.504048115,-7.563836604,-9.064284125,-9.972734128,-10.29400044,-10.07322898,-9.390469596,-8.345937194,-7.051629917,-5.628079947,-4.210586472,-2.954657151,-2.0159171,-1.511916102,-1.494415579,-1.938434761,-2.75456187,-3.823024113,-5.032860262,-6.296664772,-7.541915799,-8.694388665,-9.666638539,-10.36466633,-10.70937791,-10.65346094,-10.21360597,-9.454255858,-8.46381184,-7.326911512,-6.104765395,-4.837783441,-3.556329847,-2.29157036,-1.082872197,0.022745358,0.979205963,1.751835357,2.3202865,2.68038638,2.837403975,2.800845942,2.582110486,2.195535756,1.662464222,1.014696056,0.294126053,-0.451572211,-1.175669596,-1.83847817,-2.410153081,-2.871515152,-3.211693215,-3.425967577,-3.514386313,-3.482021298,-3.339552585,-3.103505831,-2.792458767,-2.426582287,-2.025586595,-1.606960327,-1.186613454,-0.777105374,-0.390184036,-0.036651207,0.274211806,0.535130542,0.741438511,0.891180663,0.984929191,1.025628575,1.01818102,0.969220089,0.886576287,0.778699599,0.654108795,0.520870067,0.386195561,0.255960424,0.13425377,0.023643
test1049,-16.4,298,0.03407565,0.137728306,0.31019754,0.55064776,0.858335424,1.232224804,1.670481413,2.170220657,2.728047621,3.341092102,4.007012466,4.72277548,5.483464962,6.282619719,7.112937252,7.966539606,8.835462831,9.711480452,10.58649164,11.45317538,12.30588238,13.14329124,13.97092496,14.80349836,15.66614435,16.5943323,17.63470332,18.82182037,19.78139941,19.37164718,17.63319776,16.18150686,15.5802677,15.14228092,14.27624805,12.67635682,10.48383759,8.271861154,6.634010473,5.843170476,5.878411233,6.571955003,7.663420125,8.593040291,8.157549449,4.784790024,-2.426657266,-12.98872699,-25.30648418,-37.53851703,-48.07123155,-55.58717354,-58.37833234,-53.087172,-35.59837306,-4.173662826,38.09817191,80.24752166,112.683048,134.5515183,144.3245804,142.706907,132.6151416,117.3101919,99.484206,80.79792442,62.21519029,44.24393747,27.04783823,10.67173441,-4.710919733,-18.95847615,-31.84738253,-43.18898377,-52.81293314,-60.43295923,-65.72434639,-68.51919853,-69.06846455,-67.71741359,-64.79516276,-60.68206093,-55.78181091,-50.47858871,-45.11946871,-40.0186399,-35.40396934,-31.41215152,-28.09636671,-25.4458912,-23.39880961,-21.84915914,-20.67215983,-19.73562107,-18.91666441,-18.13191346,-17.31110136,-16.40860895,-15.42333731,-14.38251698,-13.30681478,-12.17373593,-10.90765752,-9.405117022,-7.584053845,-5.444424351,-3.075047467,-0.578580659,1.971507427,4.528201569,7.080204663,9.622449443,12.13246004,14.48822392,16.51411945,17.9962699,18.76945897,18.72412163,17.80528959,16.02767965,13.5118026,10.45764303,7.058687569,3.491194752,-0.076748884,-3.49019969,-6.624841663,-9.39949567,-11.76111224,-13.65622059,-15.01285164,-15.76922346,-15.90095657,-15.4293113,-14.4012432,-12.91045645,-11.09669474,-9.133322836,-7.205686459,-5.466232685,-3.996513299,-2.843420973,-2.007505411,-1.43911447,-1.055166225,-0.7693732,-0.515455552,-0.262191229,-0.017544967,0.176765074,0.275177339,0.248275112,0.097441371,-0.123082694,-0.356884922,-0.569556882,-0.746376433,-0.887809483,-1.005518913,-1.10292958
0411chp,0.07,298,0.040824022,0.164633351,0.369680217,0.654110125,1.016413708,1.454737051,1.965604228,2.543151289,3.179633288,3.866749884,4.596844309,5.36320777,6.159599848,6.979571773,7.816435457,8.663668662,9.514565487,10.36219618,11.19924356,12.01801243,12.81070758,13.56999942,14.28965475,14.9659638,15.60052554,16.20322335,16.79565633,17.42038805,18.13980206,19.00015516,20.00453672,21.12192019,22.31048195,23.53216812,24.74390167,25.85362881,26.68683986,27.06488532,26.94869536,26.46186799,25.78703777,25.07400798,24.39706116,23.66496045,22.35530839,19.36971886,13.5392477,4.524815167,-6.705677353,-18.30569724,-28.37989219,-35.8221871,-40.77396172,-43.65812911,-44.69389848,-43.61187894,-39.60451183,-31.85736349,-20.5699519,-7.241698813,5.238707495,14.92865858,22.06435327,26.83185705,29.76324358,31.26044964,31.57701087,30.84129885,29.1036828,26.43450292,22.96110385,18.86676848,14.35642787,9.631602606,4.869851903,0.26316974,-4.082264836,-8.067205557,-11.5825939,-14.52412204,-16.82411645,-18.48305805,-19.51507021,-19.95015712,-19.85653495,-19.33306154,-18.48990694,-17.43684256,-16.28613745,-15.15599567,-14.16783762,-13.4119316,-12.9373228,-12.74597372,-12.78638242,-12.98229259,-13.21935359,-13.36638358,-13.33559447,-13.09720047,-12.66869198,-12.10058577,-11.45056333,-10.76553053,-10.06411855,-9.34115418,-8.564937581,-7.682575737,-6.63984374,-5.392749934,-3.936040526,-2.310377745,-0.589959353,1.141238942,2.809329572,4.361303858,5.756596312,6.950856357,7.905590156,8.579402221,8.947185833,9.005051809,8.765948034,8.255784651,7.507386184,6.559196243,5.449937133,4.222123529,2.917715524,1.574069418,0.230936709,-1.069372395,-2.291627891,-3.401207814,-4.368684822,-5.176740751,-5.817307847,-6.291027929,-6.604871205,-6.769142825,-6.794540004,-6.689888324,-6.46218119,-6.119110691,-5.670020891,-5.126434981,-4.503325263,-3.819750573,-3.101357374,-2.381486866,-1.70103311,-1.101468661,-0.612887411,-0.240935397,0.02897045,0.219363429,0.35218118,0.442479066,0.49804899,0.522449407
test1030,-5.5,298,0.08291326,0.336681741,0.763342911,1.364407588,2.137813215,3.075473255,4.164042837,5.387141369,6.727205474,8.166481486,9.688455672,11.28159677,12.93842475,14.65062928,16.40674722,18.19296448,19.99351229,21.7903376,23.56447398,25.29865558,26.97908188,28.59688671,30.15000788,31.64451078,33.09501175,34.52120818,35.94352735,37.38291187,38.85916404,40.11603832,38.23046256,27.87434203,12.35149133,2.426385787,0.52627711,3.528284801,9.246221563,15.79189435,21.18695651,24.93187184,27.11228292,28.03342577,27.99296837,26.98355218,24.18949236,18.01090844,7.297663696,-7.29825354,-23.01821847,-35.96339785,-44.05873926,-44.76115301,-36.43573112,-20.77066977,-1.632976788,16.80093943,39.20178977,69.92808546,105.8358875,134.2769023,144.8980844,142.8119411,132.451427,116.99506,98.68397389,79.01381158,59.1490421,39.69770896,20.86806267,2.850724223,-14.18664706,-29.93767183,-43.86471216,-55.72312168,-65.49193445,-73.2287312,-79.13354631,-83.28144245,-85.66441974,-86.30528766,-85.47093796,-83.47926145,-80.60210069,-77.09076594,-73.196876,-69.12183993,-65.02618657,-61.08005432,-57.47090227,-54.34608655,-51.75314726,-49.57568046,-47.53148081,-45.31942356,-42.73434702,-39.74382844,-36.45205388,-32.99209332,-29.48945853,-26.01853581,-22.58908795,-19.17481034,-15.75065951,-12.30830215,-8.83766194,-5.331052242,-1.806904914,1.686268099,5.038523752,8.070535092,10.57971132,12.43911375,13.68995857,14.56331774,15.30333607,16.05253843,16.81989847,17.50010116,17.92727822,17.97830879,17.58406305,16.71340689,15.33350831,13.43517837,11.04559327,8.193288038,4.91926052,1.246071449,-2.808657499,-7.121311874,-11.48953034,-15.73870353,-19.71706304,-23.28509107,-26.28361005,-28.54323191,-29.91282908,-30.30484663,-29.77717711,-28.51348561,-26.75081582,-24.69652195,-22.49468035,-20.26422119,-18.08613886,-16.01576754,-14.09736798,-12.35720834,-10.80525081,-9.435830281,-8.211453575,-7.070224893,-5.95360648,-4.810653865,-3.606403781,-2.347966073,-1.05983521,0.240887387,1.547913296,2.855364491
test1023,-5.7,298,0.091361936,0.369218474,0.831152426,1.473600726,2.291852813,3.279467056,4.427012991,5.721307012,7.146378728,8.686597305,10.33004457,12.06919603,13.8973301,15.80358626,17.77217565,19.78538677,21.82641448,23.88023314,25.9307365,27.95971097,29.94968197,31.88748901,33.76591067,35.58279555,37.34386338,39.06638946,40.78173466,42.54480853,44.42452475,45.82384973,42.09192054,27.30047584,5.593362069,-13.2373017,-23.68708014,-25.79960448,-22.21029953,-15.67563991,-8.115409627,-0.494284727,6.881739286,13.99184206,20.77432479,26.6107332,29.48379997,26.17483299,14.43786483,-4.900473047,-27.82554404,-48.4956247,-60.15038504,-56.32173956,-33.21200036,8.254169337,61.36803839,116.3291697,160.2634545,192.0971325,213.5532402,223.3522966,218.8567184,202.2919231,176.9281586,146.5032309,114.1338319,81.9160906,50.84421467,21.34967873,-6.009981964,-31.12072886,-53.85922715,-74.12132845,-91.76265634,-106.5955274,-118.4781572,-127.3927723,-133.5059815,-136.9974589,-137.9513471,-136.3998699,-132.5242346,-126.6852,-119.2181561,-110.4177465,-100.5819478,-90.01986236,-79.07865879,-68.15066016,-57.62283595,-47.77232268,-38.73164522,-30.52492752,-23.13600485,-16.52255106,-10.60496934,-5.259540371,-0.351683381,4.18017333,8.24054705,11.58250307,13.94033065,15.19024515,15.43225252,14.98371648,14.21741631,13.40799742,12.69304792,12.09640237,11.56602445,11.04855625,10.51550713,9.947418153,9.308037442,8.510984389,7.391225754,5.731756951,3.361576204,0.201807033,-3.716487498,-8.276350639,-13.33362019,-18.748063,-24.33056346,-29.85915326,-35.09612185,-39.8458536,-44.02262513,-47.58429935,-50.47330528,-52.60208826,-53.85874227,-54.18684497,-53.57409713,-52.02521856,-49.52278925,-46.00880555,-41.46668362,-35.99691415,-29.82901845,-23.29169214,-16.68536193,-10.20542804,-3.959118814,1.98643364,7.571375168,12.70199483,17.29208978,21.28467241,24.62833209,27.23825969,29.02811763,29.95555225,30.03916896,29.34751768,27.98175811,26.06634139,23.77221331,21.24559177,18.57865566,15.81152967
test2022,-9.45,298,0.022579716,0.091298664,0.205691603,0.365109589,0.56882906,0.815771543,1.104294288,1.432575768,1.799040453,2.202790384,2.643369965,3.119395621,3.627879214,4.164223804,4.722491069,5.296099857,5.878697565,6.464733956,7.049412116,7.628698915,8.199885277,8.76353761,9.326549376,9.904528904,10.52278916,11.21582188,12.02677547,12.98181569,13.71108546,13.1072429,11.19208599,9.628126255,9.387690186,10.05492729,10.75297676,10.80061873,10.07486158,8.935926997,7.831824048,7.02337847,6.545249182,6.299080139,6.109735195,5.626154127,4.117316176,0.616636815,-5.456574145,-13.8355351,-23.53995872,-33.34737584,-41.98360844,-47.67883854,-48.34875782,-41.66311707,-25.54221219,0.286655629,30.8775862,60.01707495,78.74634297,88.22667593,90.59284717,87.69490126,81.0765154,72.05357111,61.83146473,51.15492315,40.40520244,29.7954716,19.40982653,9.287256862,-0.51529031,-9.867990082,-18.57836207,-26.45636093,-33.11729565,-38.26334571,-41.60514488,-42.9885052,-42.63009475,-40.98321499,-38.46864642,-35.44672471,-32.20049759,-28.93616172,-25.79569116,-22.8510043,-20.15078318,-17.72945529,-15.58029479,-13.67784939,-11.99499677,-10.51219354,-9.214746988,-8.098175727,-7.152537384,-6.363924992,-5.725220311,-5.23064853,-4.859557677,-4.552957822,-4.212407244,-3.743871103,-3.089275005,-2.240649789,-1.225231576,-0.102622628,1.06306931,2.232638034,3.394181689,4.547170967,5.66788849,6.693748657,7.53655475,8.115095336,8.366117368,8.249120694,7.753381792,6.901963427,5.740679972,4.330218349,2.741721121,1.049263325,-0.67470159,-2.361112838,-3.946261013,-5.376863456,-6.615152584,-7.635609375,-8.431565382,-9.019139323,-9.422386287,-9.65956742,-9.733940487,-9.645563131,-9.398668091,-9.001942913,-8.473268042,-7.838455047,-7.128102475,-6.373842566,-5.614225921,-4.898979484,-4.27040823,-3.749735015,-3.333708883,-2.997059989,-2.702134773,-2.408402663,-2.084444609,-1.721286492,-1.325030595,-0.908212616,-0.487228469,-0.068010112,0.348869071,0.759991626,1.159069756,1.535792347,1.876719959,2.169004593
test3005,-10.91,298,0.033351805,0.134765047,0.304180364,0.542977191,0.853224518,1.235491301,1.687744344,2.205904015,2.784390039,3.417651239,4.10443926,4.848947539,5.652626216,6.510081855,7.412165361,8.346561241,9.30137748,10.26580384,11.22952815,12.18203192,13.11426179,14.01981698,14.89750875,15.75048911,16.59243404,17.45057024,18.36929572,19.38066067,20.00859194,17.6488023,2.048892658,-32.96906956,-57.46721162,-65.62729506,-63.46456296,-54.34340446,-40.63034353,-25.95256381,-13.09358528,-1.90503378,7.871062317,16.4537416,23.94918144,30.09247312,33.71528754,32.81578021,25.88361357,13.25000041,-2.844487767,-19.17117406,-31.87168929,-36.56545083,-30.06737763,-10.96418226,19.19781287,56.01515442,93.36664409,123.1941042,142.5708757,150.7399183,147.7749276,135.5848105,116.7774265,94.05387659,70.04496667,46.51850137,24.52145115,4.683623244,-13.08057468,-28.93165555,-42.86051206,-54.9226031,-65.18689124,-73.65193408,-80.19466481,-84.69974035,-87.12988284,-87.55461862,-86.10491574,-82.88274593,-78.0697159,-71.93128945,-64.72234101,-56.64896131,-47.94916214,-38.9158796,-29.91396399,-21.31935942,-13.45340074,-6.461705016,-0.283242161,5.244641112,10.22905383,14.72592229,18.77301165,22.4273317,25.70670281,28.55380155,30.82476256,32.36853855,33.0755649,32.90541906,31.91939256,30.27337034,28.14024873,25.63222845,22.82700004,19.79317638,16.60227988,13.33340819,10.05544857,6.762845852,3.391193548,-0.125868143,-3.814552825,-7.630600106,-11.45220776,-15.16201029,-18.67041438,-21.90825446,-24.82700297,-27.38035094,-29.51723238,-31.18834733,-32.31943469,-32.84533015,-32.72971806,-31.98170003,-30.65432645,-28.83552778,-26.63231321,-24.13828738,-21.42470284,-18.53584769,-15.49532174,-12.32585199,-9.066576511,-5.768187,-2.486143742,0.709340607,3.734132809,6.503670188,8.962213933,11.05594835,12.70015099,13.8611748,14.56205689,14.85730266,14.80591844,14.4498767,13.80235789,12.8702172,11.69428136,10.3483931,8.894643154,7.384413627,5.860286028,4.356878037,2.902786891,1.526374861
