Mol,HFE,Temp,hnc_w_40,hnc_w_80,hnc_w_120,hnc_w_160,hnc_w_200,hnc_w_240,hnc_w_280,hnc_w_320,hnc_w_360,hnc_w_400,hnc_w_440,hnc_w_480,hnc_w_520,hnc_w_560,hnc_w_600,hnc_w_640,hnc_w_680,hnc_w_720,hnc_w_760,hnc_w_800,hnc_w_840,hnc_w_880,hnc_w_920,hnc_w_960,hnc_w_1000,hnc_w_1040,hnc_w_1080,hnc_w_1120,hnc_w_1160,hnc_w_1200,hnc_w_1240,hnc_w_1280,hnc_w_1320,hnc_w_1360,hnc_w_1400,hnc_w_1440,hnc_w_1480,hnc_w_1520,hnc_w_1560,hnc_w_1600,hnc_w_1640,hnc_w_1680,hnc_w_1720,hnc_w_1760,hnc_w_1800,hnc_w_1840,hnc_w_1880,hnc_w_1920,hnc_w_1960,hnc_w_2000,hnc_w_2040,hnc_w_2080,hnc_w_2120,hnc_w_2160,hnc_w_2200,hnc_w_2240,hnc_w_2280,hnc_w_2320,hnc_w_2360,hnc_w_2400,hnc_w_2440,hnc_w_2480,hnc_w_2520,hnc_w_2560,hnc_w_2600,hnc_w_2640,hnc_w_2680,hnc_w_2720,hnc_w_2760,hnc_w_2800,hnc_w_2840,hnc_w_2880,hnc_w_2920,hnc_w_2960,hnc_w_3000,hnc_w_3040,hnc_w_3080,hnc_w_3120,hnc_w_3160,hnc_w_3200,hnc_w_3240,hnc_w_3280,hnc_w_3320,hnc_w_3360,hnc_w_3400,hnc_w_3440,hnc_w_3480,hnc_w_3520,hnc_w_3560,hnc_w_3600,hnc_w_3640,hnc_w_3680,hnc_w_3720,hnc_w_3760,hnc_w_3800,hnc_w_3840,hnc_w_3880,hnc_w_3920,hnc_w_3960,hnc_w_4000,hnc_w_4040,hnc_w_4080,hnc_w_4120,hnc_w_4160,hnc_w_4200,hnc_w_4240,hnc_w_4280,hnc_w_4320,hnc_w_4360,hnc_w_4400,hnc_w_4440,hnc_w_4480,hnc_w_4520,hnc_w_4560,hnc_w_4600,hnc_w_4640,hnc_w_4680,hnc_w_4720,hnc_w_4760,hnc_w_4800,hnc_w_4840,hnc_w_4880,hnc_w_4920,hnc_w_4960,hnc_w_5000,hnc_w_5040,hnc_w_5080,hnc_w_5120,hnc_w_5160,hnc_w_5200,hnc_w_5240,hnc_w_5280,hnc_w_5320,hnc_w_5360,hnc_w_5400,hnc_w_5440,hnc_w_5480,hnc_w_5520,hnc_w_5560,hnc_w_5600,hnc_w_5640,hnc_w_5680,hnc_w_5720,hnc_w_5760,hnc_w_5800,hnc_w_5840,hnc_w_5880,hnc_w_5920,hnc_w_5960,hnc_w_6000,hnc_w_6040,hnc_w_6080,hnc_w_6120,hnc_w_6160,hnc_w_6200,hnc_w_6240,hnc_w_6280,hnc_w_6320,hnc_w_6360,hnc_w_6400
0123dim,-4.86,298,0.043327183,0.17523932,0.395106889,0.702221949,1.095777125,1.574486764,2.136210974,2.777909714,3.496121329,4.287618606,5.149826544,6.080637744,7.077584664,8.136882169,9.253227404,10.42008545,11.62983257,12.87464059,14.14723346,15.44096256,16.74961965,18.06743434,19.38946181,20.71289626,22.0394769,23.37754427,24.74235135,26.15593743,27.64430527,29.23040924,30.92938026,32.74790537,34.65824583,36.33848662,36.87689441,35.72777419,33.6638796,31.93238817,31.22740038,31.61001407,32.8489575,34.66708477,36.77116577,38.60302123,38.88761297,35.8353255,28.40883856,17.32688085,4.670877621,-7.293346638,-16.86605426,-23.37750207,-27.26545414,-28.80794975,-27.57470742,-22.69374055,-13.75306283,-1.558942953,12.02727246,24.90173599,34.85356333,41.35760138,44.941112,46.15742056,45.55070043,43.57526685,40.54192178,36.66071897,32.08859758,26.96576189,21.44324336,15.76584923,10.10878847,4.579076405,-0.729789797,-5.719362928,-10.27583918,-14.27109581,-17.58326324,-20.12134283,-21.83989109,-22.73331635,-22.81436242,-22.14433921,-20.85418672,-19.14082357,-17.22423052,-15.31800798,-13.58428448,-12.11652348,-10.94301352,-10.04370166,-9.366894017,-8.846098414,-8.408259095,-7.984975522,-7.502091304,-6.895759054,-6.125003239,-5.187458161,-4.114792488,-2.954742338,-1.750637015,-0.526680164,0.682796257,1.849556565,2.938522337,3.911769136,4.747241962,5.451465067,6.051624373,6.577273617,7.015355132,7.301589928,7.352509688,7.10508661,6.545382515,5.702176253,4.619017556,3.34675762,1.935165708,0.436836262,-1.092741159,-2.595616741,-4.012663924,-5.290132852,-6.395200044,-7.312508251,-8.039807559,-8.580516699,-8.938910325,-9.11754616,-9.112480891,-8.921124139,-8.548658398,-8.008551172,-7.318439036,-6.495626962,-5.552308179,-4.501011022,-3.364331983,-2.186777223,-1.038040905,0.00475503,0.882481426,1.562682945,2.043983365,2.347342639,2.502468727,2.54244898,2.496335497,2.387631905,2.235956083,2.05976927,1.874846566,1.692683352,1.517613626,1.345613307,1.169057498,0.979838079
test4006,-0.59,298,0.033993434,0.137352654,0.309184579,0.54850499,0.854388335,1.225681865,1.660536944,2.156153654,2.708983345,3.315322477,3.971913264,4.675960862,5.424356777,6.213603516,7.039993788,7.899755399,8.788993543,9.703801534,10.64029678,11.59447313,12.56215526,13.53912242,14.52098936,15.50471977,16.49062857,17.48412707,18.49550071,19.53518447,20.60977255,21.72233513,22.87277758,24.05693288,25.26747387,26.49653699,27.72734548,28.91299475,29.98224606,30.89137736,31.65481311,32.31725431,32.9024556,33.39227491,33.74395757,33.8285155,33.16650662,30.82411464,26.00933629,18.84944012,10.41842227,2.087601443,-5.067286713,-10.39774203,-14.10037629,-16.51816142,-17.86875882,-18.24056378,-17.67362567,-16.23233755,-14.02597169,-11.06436859,-7.071340283,-1.580408689,5.427820738,13.38505912,20.26709673,24.78830386,27.44649115,28.6048082,28.51022071,27.36376819,25.36427053,22.71850955,19.62270999,16.25556747,12.76321409,9.254647086,5.814038599,2.515450331,-0.57545612,-3.403071904,-5.908628237,-8.016808898,-9.642072586,-10.71851499,-11.23285083,-11.2774898,-10.96264853,-10.39696538,-9.686511337,-8.942946119,-8.282193354,-7.801327186,-7.546236866,-7.519921817,-7.69395284,-8.016383644,-8.413133538,-8.813282337,-9.156993067,-9.412205716,-9.569424197,-9.637415519,-9.62913077,-9.550107396,-9.39626799,-9.157295364,-8.820686771,-8.369543847,-7.786750033,-7.064163773,-6.21026579,-5.248831018,-4.211157766,-3.126695449,-2.015489628,-0.88897532,0.242174239,1.357063725,2.412379295,3.359689181,4.161862715,4.79389371,5.240019637,5.492273182,5.551538699,5.427583306,5.146614371,4.742714965,4.239461408,3.657158268,3.018451174,2.346410055,1.66410752,0.993961197,0.356704743,-0.229230308,-0.748261407,-1.188133373,-1.540626101,-1.80235298,-1.9755065,-2.069008041,-2.097637396,-2.078126796,-2.02510829,-1.949578868,-1.859769461,-1.761452272,-1.660404454,-1.564318621,-1.48380939,-1.431607717,-1.417517816,-1.445600434,-1.507063992,-1.589378409,-1.679587549,-1.764879496,-1.833034209,-1.874001786
0055ocr,-5.87,298,0.038222859,0.155060389,0.350906393,0.625946502,0.980001189,1.412339935,1.92152009,2.505324085,3.161985204,3.891861896,4.693462544,5.562823299,6.495674883,7.488011076,8.535873379,9.634345861,10.77588194,11.95178638,13.15345118,14.37149637,15.59724233,16.82567389,18.05449147,19.2844088,20.52250222,21.78860619,23.07594658,21.91381651,6.334197695,-12.75366805,-16.97828991,-12.65905958,-7.05087887,-4.412672752,-3.869425961,-1.800248583,3.466330468,10.93506506,19.10916137,26.94062119,33.90750853,39.81879522,44.59933198,47.93832066,48.84107451,45.85613003,38.24855001,26.81875266,13.31499184,-0.53156341,-12.653139,-20.97499159,-22.22978149,-12.28303815,9.852441618,39.37709456,62.64811908,77.073655,84.83609925,87.31776549,85.46622588,80.07682235,71.77255159,61.20207369,49.35122067,37.069717,24.95585465,13.4142799,2.479292816,-7.685116507,-16.95208322,-25.35752576,-32.7635903,-38.82344981,-43.09098376,-45.31715377,-45.71047693,-44.78081345,-42.93931502,-40.42836311,-37.39037591,-33.90121373,-30.00765404,-25.78771085,-21.3943446,-17.02073665,-12.85834688,-9.078901116,-5.808521614,-3.120391138,-1.024933939,0.525188353,1.610543907,2.338953321,2.834488095,3.219293061,3.590037304,4.005245426,4.472193589,4.942107726,5.327312949,5.553383047,5.587991139,5.434253251,5.159142437,4.830909509,4.521306372,4.30869022,4.237515885,4.300273078,4.440515999,4.57295904,4.606810636,4.459664488,4.061356144,3.372013967,2.413109978,1.244822689,-0.054518133,-1.372219803,-2.619309659,-3.749134478,-4.733968165,-5.570367271,-6.250281935,-6.751652121,-7.052899901,-7.140844047,-7.02343385,-6.72809834,-6.288892256,-5.739425213,-5.099094864,-4.366209562,-3.53649262,-2.641966265,-1.735767341,-0.881266434,-0.144558504,0.430401296,0.8260348,1.055308282,1.149371102,1.131802432,1.034214771,0.889770614,0.7209975,0.534508531,0.328761965,0.095432466,-0.173519082,-0.481137052,-0.822359963,-1.183451145,-1.548745064,-1.902017737,-2.229283049,-2.519089663,-2.757167583,-2.929327746
0026cyc,0.56,298,0.034606482,0.140125601,0.316345046,0.56265823,0.877643847,1.258622019,1.701575484,2.201446348,2.752741878,3.350379351,3.990510509,4.670953281,5.390917905,6.150336717,6.949175717,7.786807484,8.661295141,9.569575335,10.50783968,11.47178341,12.45681506,13.4583772,14.47272461,15.49831115,16.53780634,17.6000177,18.70070989,19.86250388,21.11010483,22.46066028,23.91933193,25.48055755,27.13377115,28.86632307,30.64108704,32.32192849,33.66393414,34.49918104,34.89063957,35.05981991,35.22755755,35.52551136,35.96778822,36.32116779,35.77727224,32.95129884,26.76603745,17.43241231,6.410900754,-4.462589993,-13.63457199,-20.1726449,-24.55168012,-27.23959212,-28.43085977,-27.9892588,-25.58977953,-21.05873949,-14.6519744,-7.075795628,0.738038674,8.016658543,14.23759692,19.01900271,22.38037054,24.51034126,25.59644963,25.75546785,25.04508119,23.52375042,21.292155,18.50231533,15.3283451,11.9417919,8.48351363,5.06720302,1.804079317,-1.175568916,-3.763772881,-5.866716746,-7.422493113,-8.396839453,-8.791280159,-8.6475761,-8.043329495,-7.077464405,-5.861552308,-4.516103644,-3.176536299,-1.999301662,-1.142301253,-0.725785576,-0.802598665,-1.345728687,-2.261058684,-3.423304412,-4.716938421,-6.051324595,-7.351503953,-8.541362431,-9.532718423,-10.23296114,-10.56672314,-10.49173149,-10.02942569,-9.247734482,-8.237260519,-7.08393647,-5.849644687,-4.574688903,-3.288661959,-2.021730764,-0.812308551,0.293191992,1.248850232,2.01973643,2.584951391,2.939699418,3.088819997,3.041764708,2.810262025,2.409295941,1.861022908,1.198005167,0.462683398,-0.297015492,-1.034348728,-1.709732129,-2.293419946,-2.766263241,-3.117331369,-3.34171321,-3.439169162,-3.414434609,-3.277889995,-3.045865824,-2.736928802,-2.371419006,-1.969378969,-1.548730006,-1.125840754,-0.713691266,-0.324381399,0.031006247,0.342978096,0.604108995,0.809640871,0.957586374,1.048544128,1.08554582,1.073640067,1.019657064,0.93165977,0.818347604,0.688483767,0.550354034,0.411351848,0.277483964,0.152917614,0.040244021
test1049,-16.4,298,0.054994871,0.222467745,0.501661544,0.891740678,1.391961602,2.001288591,2.717887157,3.538872705,4.460850321,5.480949803,6.596829514,7.805456225,9.10191375,10.4797409,11.93163517,13.44971852,15.02602635,16.6523282,18.32050516,20.02317227,21.75449702,23.51272275,25.30249889,27.13703863,29.03924333,31.04159288,33.18587123,35.49532878,37.56079118,38.17700724,37.39273639,36.88764897,37.21692256,37.65693297,37.60658078,36.73309777,35.15059372,33.43562488,32.2068337,31.76735982,32.12166108,33.11716313,34.49040654,35.62393134,35.15506609,31.33846499,23.31334593,11.8651826,-1.106449117,-13.66359347,-24.28943155,-31.83964682,-34.77134819,-29.89874007,-13.27169565,16.76024046,57.12792467,96.93545141,126.714764,146.0960237,153.9715685,151.0499822,140.1138267,124.2168011,105.8797788,86.68697516,67.58327503,49.08483221,31.3743576,14.51913747,-1.286968711,-15.88778747,-29.05212128,-40.59095613,-50.33905678,-58.01843068,-63.31320558,-66.06385341,-66.53046084,-65.06764977,-62.01251032,-57.75107377,-52.69162051,-47.22178492,-41.69173355,-36.4184059,-31.63253056,-27.47463621,-24.00279029,-21.21185087,-19.04599053,-17.40565412,-16.17197737,-15.21721878,-14.42072243,-13.69834767,-12.9775698,-12.2101643,-11.39225273,-10.54790453,-9.693990781,-8.803526872,-7.795488897,-6.559699025,-5.006181817,-3.126748392,-1.003622812,1.265140644,3.608784416,5.981379273,8.371702984,10.77416189,13.16548682,15.42214396,17.36550707,18.77732285,19.48741191,19.38203841,18.40393313,16.56734556,13.99358528,10.88437227,7.434977365,3.82301414,0.217482043,-3.226172202,-6.383531238,-9.173698366,-11.54422576,-13.44246982,-14.7973915,-15.54820956,-15.67155349,-15.18970806,-14.15061917,-12.64882598,-10.82487241,-8.852959831,-6.919193597,-5.176183437,-3.704487462,-2.54977312,-1.711642982,-1.13983452,-0.751012469,-0.45887588,-0.197318199,0.064529021,0.318184245,0.52133077,0.62790753,0.608182096,0.463371033,0.247553791,0.016895389,-0.194538656,-0.372438216,-0.517661894,-0.6421017,-0.749248475
0411chp,0.07,298,0.056286055,0.227266849,0.51119709,0.906222281,1.410833057,2.023175502,2.73977369,3.554763673,4.460400501,5.448383837,6.51105691,7.641710929,8.834105474,10.08179178,11.37808175,12.71645315,14.09020007,15.49239279,16.91571409,18.35246878,19.79486168,21.23556317,22.66834006,24.08948257,25.50058893,26.91137371,28.33916854,29.80097357,31.30650026,32.85910097,34.45756284,36.09478169,37.7591603,39.43653988,41.0959986,42.63837251,43.86094973,44.55670602,44.68550251,44.39808854,43.91130969,43.40017709,42.94507701,42.39353855,40.96674777,37.15225733,29.69415491,18.8188986,6.22302285,-5.989148123,-16.15165299,-23.51649381,-28.42785428,-31.36421617,-32.5667995,-31.83405637,-28.47740147,-21.73711024,-11.65682753,0.590846387,12.35078772,21.61458795,28.51114779,33.12296176,35.91472493,37.26551204,37.42945443,36.54058656,34.64712649,31.80972903,28.14718733,23.84154512,19.10456267,14.14848492,9.1589718,4.330298427,-0.232953615,-4.433754993,-8.164418594,-11.32015851,-13.83047077,-15.69127646,-16.91226124,-17.52067669,-17.58385815,-17.20097095,-16.4831355,-15.54205597,-14.49370184,-13.46220244,-12.57562439,-11.92806946,-11.56690347,-11.48716586,-11.62777615,-11.90301895,-12.19170063,-12.36081313,-12.32640879,-12.06505619,-11.6000721,-10.9859481,-10.28333289,-9.542457977,-8.785975435,-8.013471086,-7.198531378,-6.29350422,-5.248224634,-4.020334404,-2.60280538,-1.031920692,0.62319694,2.282698694,3.8754812,5.350197613,6.667534426,7.784431389,8.663985348,9.266498012,9.567762979,9.56440728,9.270006251,8.711265627,7.921758938,6.9404462,5.806090149,4.560722742,3.245486675,1.896636909,0.552543271,-0.746089536,-1.965566974,-3.072459421,-4.038092799,-4.845628098,-5.487320935,-5.964076166,-6.283031846,-6.454504767,-6.489078236,-6.395387629,-6.180264163,-5.85126287,-5.417512501,-4.89015894,-4.283623594,-3.616360896,-2.913442471,-2.207770595,-1.540007206,-0.951576396,-0.472639533,-0.108925361,0.154046524,0.338748687,0.467227073,0.55463204,0.608747147,0.632994481
test1030,-5.5,298,0.107470607,0.436158474,0.988105003,1.764821013,2.764243946,3.978287266,5.393606102,6.993819861,8.761365166,10.67848835,12.72867569,14.9003959,17.18616898,19.57768458,22.06347956,24.62973984,27.26069663,29.93829691,32.64357423,35.35926274,38.07156192,40.77160561,43.4573316,46.13480531,48.81864285,51.52849257,54.28345441,57.09576613,59.96438231,62.59986977,61.96222123,52.63307774,38.24173953,29.64382254,29.04746368,33.2893117,40.18918838,47.83248628,54.19128468,58.74040437,61.58472459,63.07381007,63.54216751,62.93306862,60.16493038,53.31997895,41.45884722,25.98440765,10.12497313,-2.480211065,-10.17814691,-10.66427167,-2.346228438,13.2041615,32.10511199,49.67340309,69.87821345,97.27156766,130.2611126,157.6346997,168.2747098,166.3436379,155.9024748,140.0529296,121.0964602,100.640941,79.96739143,59.77943525,40.35296156,21.91345884,4.635674732,-11.18866473,-25.06367397,-36.79982344,-46.42255012,-54.02573341,-59.83131764,-63.92015863,-66.27965934,-66.92613815,-66.13178972,-64.22465869,-61.48395402,-58.16797269,-54.53701572,-50.79959265,-47.11774767,-43.65816105,-40.60226686,-38.08937333,-36.1570844,-34.67768914,-33.3569154,-31.88277217,-30.04237116,-27.79720407,-25.2480595,-22.5280414,-19.76097484,-17.015274,-14.29288848,-11.56054227,-8.787671747,-5.961513433,-3.068435564,-0.099656079,2.92710145,5.965707799,8.908307414,11.57696099,13.77113007,15.36700813,16.40857995,17.12575467,17.75466964,18.42499268,19.13667087,19.78084713,20.18988811,20.23758081,19.84936312,18.9880654,17.61703057,15.72356831,13.3296615,10.45803213,7.145562753,3.413286833,-0.71929596,-5.121369925,-9.581027714,-13.91573279,-17.96887625,-21.59965595,-24.65023924,-26.95432739,-28.36565149,-28.80138031,-28.3220062,-27.11135924,-25.40543177,-23.41003177,-21.26798995,-19.09735143,-16.97838594,-14.96585288,-13.10433695,-11.42137726,-9.928606744,-8.621061448,-7.460313908,-6.382872086,-5.328832717,-4.246344714,-3.099395605,-1.893283596,-0.650639616,0.612527273,1.890443117,3.178194445
test1023,-5.7,298,0.127743191,0.516591412,1.164133303,2.0668058,3.219898341,4.616969294,6.248588197,8.101571444,10.15994864,12.40808896,14.83407422,17.43037993,20.19028451,23.10292744,26.15251986,29.32135026,32.59261351,35.95128396,39.38125537,42.86431416,46.38298572,49.92410959,53.48046433,57.04989855,60.63813081,64.2622854,67.95049728,71.7387605,75.65310971,79.02294488,76.98547377,63.49202421,43.010106,25.46571412,16.31010973,15.5170557,20.43988139,28.26188631,37.01485493,45.72114598,54.08229085,62.09112521,69.68665094,76.13386202,78.97919309,74.41808389,60.27764507,38.40713366,13.85751574,-7.363379517,-19.02900589,-15.35292095,7.121304349,47.53822347,99.46083269,153.151841,195.3106559,224.466743,242.6909813,249.4931571,242.7008708,224.6085716,198.2918261,167.1940598,134.1988821,101.3011697,69.5519271,39.50679618,11.77015679,-13.61213155,-36.619049,-57.18387511,-75.15112146,-90.30331544,-102.476126,-111.6432926,-117.9741593,-121.6579293,-122.7883846,-121.4052568,-117.6924661,-112.0114489,-104.6975352,-96.04651312,-86.35666122,-75.93407775,-65.11980313,-54.29942608,-43.85570425,-34.06685882,-25.07116515,-16.8998849,-9.545268367,-2.974502715,2.88283682,8.144257796,12.94003464,17.32780673,21.20799417,24.33029603,26.42701483,27.37445662,27.27568937,26.4536704,25.28829977,24.06213383,22.9218245,21.90016233,20.9508724,20.02237014,19.08555667,18.12030197,17.0912154,15.91492677,14.43074885,12.42603188,9.732787812,6.273125689,2.078485014,-2.733702568,-8.019279834,-13.63831222,-19.40176343,-25.08749962,-30.45808279,-35.31841253,-39.58295409,-43.21024128,-46.14534667,-48.30607329,-49.58799361,-49.94181908,-49.36001252,-47.84910302,-45.39106125,-41.92664747,-37.43878935,-32.02851806,-25.92644544,-19.4622569,-12.93736467,-6.547802264,-0.40044609,5.438734634,10.9115276,15.92643275,20.39987491,24.27745536,27.51020505,30.01483781,31.70511607,32.53770391,32.52959329,31.74750638,30.29082328,28.28252939,25.892832,23.26774924,20.49991684,17.63023823
test2022,-9.45,298,0.037132218,0.150247839,0.338883953,0.602391619,0.940047271,1.350772438,1.83292437,2.38468154,3.004468419,3.691387045,4.444981824,5.263869182,6.14506098,7.083960277,8.074628745,9.11048515,10.18517617,11.29314724,12.42958192,13.59037816,14.77262972,15.9764352,17.20775041,18.48057477,19.81783731,21.25090373,22.81854304,24.53831408,26.01136864,26.07365437,24.75627654,23.78798368,24.14164732,25.35582121,26.53333941,26.99313582,26.60986714,25.74420799,24.85652484,24.22815364,23.91183044,23.81952636,23.77436639,23.3898978,21.83488188,18.02691905,11.39664914,2.390691057,-7.809158624,-17.90566738,-26.69786124,-32.594691,-33.70668949,-27.78101137,-12.66172392,12.04862529,41.44799947,69.3445706,86.81024552,95.07534384,96.39742417,92.67073483,85.40298288,75.83952428,65.14106634,54.03393125,42.89686756,31.94530932,21.26600672,10.90158191,0.912113113,-8.571742872,-17.36089123,-25.27166993,-31.92896437,-37.04563486,-40.34116405,-41.66723438,-41.24371552,-39.5262902,-36.9371606,-33.83625257,-30.50713503,-27.15830688,-23.93535967,-20.91410407,-18.1462177,-15.66907646,-13.4786439,-11.55156315,-9.862076844,-8.391211185,-7.124084433,-6.055501051,-5.174146645,-4.46384325,-3.914823141,-3.519004649,-3.25385908,-3.058692896,-2.833301844,-2.481403132,-1.942250275,-1.205008193,-0.294140436,0.733407232,1.815440466,2.913213298,4.013555824,5.113618639,6.187575468,7.172072237,7.978715113,8.525991738,8.750134476,8.609951609,8.094122514,7.22536906,6.049366908,4.626778193,3.028804504,1.329552754,-0.398834766,-2.088112459,-3.675670485,-5.109160859,-6.351281579,-7.376385325,-8.177523005,-8.770810012,-9.180435032,-9.424684526,-9.506803479,-9.427013605,-9.189546092,-8.802968169,-8.284882247,-7.660666292,-6.960344938,-6.214988481,-5.462740946,-4.753088751,-4.128333448,-3.609927276,-3.195013414,-2.858799504,-2.56411494,-2.270852535,-1.947889236,-1.586399887,-1.192631928,-0.779358087,-0.363189508,0.049873112,0.459445689,0.862544412,1.253292492,1.621698187,1.954556761,2.239188435
test3005,-10.91,298,0.05699962,0.230557456,0.520617934,0.928560489,1.456454111,2.104867756,2.871768228,3.753075895,4.743210483,5.836620813,7.032058533,8.333717076,9.743046586,11.25465362,12.8593891,14.5449375,16.29940678,18.11198626,19.97236149,21.87000411,23.79582731,25.74333674,27.71112451,29.7019049,31.72859729,33.81712496,36.00730275,38.31173618,40.19731171,38.94791715,24.11161535,-10.13470793,-33.51332483,-40.79008834,-37.95310793,-28.20505084,-13.85716343,1.441364779,14.84306307,26.47922414,36.62803892,45.5348402,53.31713169,59.64462346,63.08271813,61.23079956,52.51777157,37.83481312,20.1481491,2.981179826,-10.01610517,-14.89131023,-8.774724952,9.618345166,38.7159111,74.09401444,109.6119165,137.2661244,154.3486772,160.4236186,155.7842707,142.3961767,122.7833621,99.53064713,75.19297917,51.4785096,29.37933982,9.473137933,-8.368110561,-24.33296656,-38.42307094,-50.68645834,-61.16994077,-69.84746967,-76.58321225,-81.25701425,-83.8315338,-84.37933793,-83.03721568,-79.91130599,-75.18329431,-69.11906614,-61.97404023,-53.95706749,-45.3080772,-36.31931374,-27.35156989,-18.77718531,-10.91541321,-3.912194281,2.291802642,7.857568197,12.89002584,17.44095349,21.54170557,25.24268053,28.55667637,31.42328565,33.69719094,35.22731775,35.90501886,35.69065891,34.64722562,32.9337718,30.72622576,28.13753303,25.24414617,22.11228976,18.81152778,15.42024668,12.00865203,8.574202532,5.056802943,1.394876547,-2.43323126,-6.380220711,-10.32315765,-14.14395536,-17.75226612,-21.07811124,-24.07221505,-26.68812829,-28.87590179,-30.58810195,-31.75270009,-32.30660483,-32.21522845,-31.48890305,-30.18137261,-28.38061457,-26.19346108,-23.71371265,-21.01304341,-18.13619962,-15.10728452,-11.94953912,-8.70242719,-5.416811867,-2.148647653,1.031456167,4.039370242,6.790646514,9.230243739,11.30539796,12.93205494,14.07709203,14.76406893,15.04802287,14.98841301,14.627479,13.97846604,13.04820373,11.87714239,10.53829558,9.09287232,7.591419623,6.075756045,4.579900027,3.132065393,1.760373479
