Mol,HFE,Temp,kh_w_40,kh_w_80,kh_w_120,kh_w_160,kh_w_200,kh_w_240,kh_w_280,kh_w_320,kh_w_360,kh_w_400,kh_w_440,kh_w_480,kh_w_520,kh_w_560,kh_w_600,kh_w_640,kh_w_680,kh_w_720,kh_w_760,kh_w_800,kh_w_840,kh_w_880,kh_w_920,kh_w_960,kh_w_1000,kh_w_1040,kh_w_1080,kh_w_1120,kh_w_1160,kh_w_1200,kh_w_1240,kh_w_1280,kh_w_1320,kh_w_1360,kh_w_1400,kh_w_1440,kh_w_1480,kh_w_1520,kh_w_1560,kh_w_1600,kh_w_1640,kh_w_1680,kh_w_1720,kh_w_1760,kh_w_1800,kh_w_1840,kh_w_1880,kh_w_1920,kh_w_1960,kh_w_2000,kh_w_2040,kh_w_2080,kh_w_2120,kh_w_2160,kh_w_2200,kh_w_2240,kh_w_2280,kh_w_2320,kh_w_2360,kh_w_2400,kh_w_2440,kh_w_2480,kh_w_2520,kh_w_2560,kh_w_2600,kh_w_2640,kh_w_2680,kh_w_2720,kh_w_2760,kh_w_2800,kh_w_2840,kh_w_2880,kh_w_2920,kh_w_2960,kh_w_3000,kh_w_3040,kh_w_3080,kh_w_3120,kh_w_3160,kh_w_3200,kh_w_3240,kh_w_3280,kh_w_3320,kh_w_3360,kh_w_3400,kh_w_3440,kh_w_3480,kh_w_3520,kh_w_3560,kh_w_3600,kh_w_3640,kh_w_3680,kh_w_3720,kh_w_3760,kh_w_3800,kh_w_3840,kh_w_3880,kh_w_3920,kh_w_3960,kh_w_4000,kh_w_4040,kh_w_4080,kh_w_4120,kh_w_4160,kh_w_4200,kh_w_4240,kh_w_4280,kh_w_4320,kh_w_4360,kh_w_4400,kh_w_4440,kh_w_4480,kh_w_4520,kh_w_4560,kh_w_4600,kh_w_4640,kh_w_4680,kh_w_4720,kh_w_4760,kh_w_4800,kh_w_4840,kh_w_4880,kh_w_4920,kh_w_4960,kh_w_5000,kh_w_5040,kh_w_5080,kh_w_5120,kh_w_5160,kh_w_5200,kh_w_5240,kh_w_5280,kh_w_5320,kh_w_5360,kh_w_5400,kh_w_5440,kh_w_5480,kh_w_5520,kh_w_5560,kh_w_5600,kh_w_5640,kh_w_5680,kh_w_5720,kh_w_5760,kh_w_5800,kh_w_5840,kh_w_5880,kh_w_5920,kh_w_5960,kh_w_6000,kh_w_6040,kh_w_6080,kh_w_6120,kh_w_6160,kh_w_6200,kh_w_6240,kh_w_6280,kh_w_6320,kh_w_6360,kh_w_6400
0123dim,-4.86,298,0.043327183,0.17523932,0.395106889,0.702221949,1.095777125,1.574486764,2.136210974,2.777909714,3.496121329,4.287618606,5.149826544,6.080637744,7.077584664,8.136882169,9.253227404,10.42008545,11.62983257,12.87464059,14.14723346,15.44096256,16.74961965,18.06743434,19.38946181,20.71289626,22.0394769,23.37754427,24.74235135,26.15593743,27.64430527,29.23040924,30.92938026,32.74790537,34.65824583,36.33848662,36.87689441,35.72777419,33.6638796,31.93238817,31.22740038,31.61001407,32.8489575,34.66708477,36.77116577,38.60302123,38.88761297,35.8353255,28.40883856,17.32688085,4.670877621,-7.295493392,-16.90129784,-23.51988251,-27.494688,-29.05914032,-27.7934716,-22.85210168,-13.84796075,-1.602947566,12.01429136,24.90015558,34.82425621,41.28135427,44.73437354,45.71979182,44.87116853,42.69371984,39.51436131,35.54547894,30.94473767,25.85144523,20.40781555,14.85138349,9.341205885,3.963187024,-1.205042814,-6.072332946,-10.52899482,-14.4479077,-17.70572668,-20.20850313,-21.90754186,-22.79233286,-22.86798013,-22.19756858,-20.9129447,-19.21114832,-17.31052806,-15.41900118,-13.69465718,-12.22792046,-11.045235,-10.12769387,-9.427988076,-8.88550543,-8.431453735,-7.996732422,-7.507558199,-6.898791921,-6.126390257,-5.187828866,-4.114794086,-2.956066526,-1.758097122,-0.546035523,0.644261439,1.785738922,2.844464857,3.783777099,4.58362401,5.25234124,5.818691085,6.313639129,6.726687165,6.995725089,7.0389039,6.793737571,6.244168452,5.414422921,4.345697109,3.087120725,1.687443883,0.197047852,-1.330338007,-2.836156319,-4.259875072,-5.546056369,-6.66095913,-7.588126553,-8.323482817,-8.869859178,-9.231711852,-9.411333375,-9.404927965,-9.209879965,-8.83104288,-8.281742507,-7.57975655,-6.742156915,-5.782106325,-4.713345752,-3.559443995,-2.365455964,-1.201615748,-0.145650776,0.743633007,1.434817212,1.926440984,2.238913875,2.401691729,2.447691991,2.406005817,2.300964536,2.152547625,1.979210494,1.796901546,1.617258719,1.444015702,1.273194259,1.097148018,0.907650937
test4006,-0.59,298,0.033993434,0.137352654,0.309184579,0.54850499,0.854388335,1.225681865,1.660536944,2.156153654,2.708983345,3.315322477,3.971913264,4.675960862,5.424356777,6.213603516,7.039993788,7.899755399,8.788993543,9.703801534,10.64029678,11.59447313,12.56215526,13.53912242,14.52098936,15.50471977,16.49062857,17.48412707,18.49550071,19.53518447,20.60977255,21.72233513,22.87277758,24.05693288,25.26747387,26.49653699,27.72734548,28.91299475,29.98224606,30.89137736,31.65481311,32.31725431,32.9024556,33.39227491,33.74395757,33.8285155,33.16650662,30.82411464,26.00933629,18.84944012,10.41842227,2.087601443,-5.076383918,-10.47477314,-14.23452425,-16.66143313,-17.98431289,-18.31642209,-17.71459444,-16.25074099,-14.03268498,-11.06645951,-7.071451995,-1.580408689,5.394828954,13.27735642,19.91725847,24.04331591,26.33382429,27.22079959,26.97361348,25.79556059,23.8676703,21.36764463,18.46113447,15.29824038,12.00296823,8.669899586,5.375394329,2.188998569,-0.824659055,-3.606633003,-6.091282464,-8.194683118,-9.821000579,-10.89560363,-11.39892563,-11.42819639,-11.09867692,-10.52273549,-9.808207453,-9.065696272,-8.405844658,-7.919149801,-7.650604353,-7.605368386,-7.758599964,-8.062585127,-8.450981622,-8.855999152,-9.218831402,-9.505165913,-9.701999992,-9.815295575,-9.855505703,-9.825809004,-9.719636259,-9.524331544,-9.225419936,-8.803977966,-8.240984924,-7.52696454,-6.670393592,-5.696525195,-4.638932099,-3.529220146,-2.388667301,-1.22870889,-0.059798471,1.096004283,2.191994118,3.175912801,4.009056732,4.666305318,5.131847018,5.398988102,5.469554606,5.354898863,5.082189612,4.684223658,4.184400246,3.602779228,2.962253271,2.286931203,1.601123582,0.927663002,0.287542889,-0.30050946,-0.820627572,-1.260329715,-1.611263208,-1.8700293,-2.038923366,-2.127061235,-2.149486689,-2.123247294,-2.063361575,-1.981329881,-1.88575112,-1.782611917,-1.67782693,-1.579209486,-1.497455704,-1.445169526,-1.43214014,-1.462226794,-1.526740608,-1.612957136,-1.707590595,-1.797456491,-1.870106233,-1.915222237
0055ocr,-5.87,298,0.038222859,0.155060389,0.350906393,0.625946502,0.980001189,1.412339935,1.92152009,2.505324085,3.161985204,3.891861896,4.693462544,5.562823299,6.495674883,7.488011076,8.535873379,9.634345861,10.77588194,11.95178638,13.15345118,14.37149637,15.59724233,16.82567389,18.05449147,19.2844088,20.52250222,21.78860619,23.07594658,21.91381651,6.334197695,-12.86455754,-17.17549913,-12.79735038,-7.090642158,-4.412672752,-3.869425961,-1.800248583,3.466330468,10.93506506,19.10916137,26.94062119,33.90750853,39.81879522,44.59933198,47.93832066,48.84107451,45.85613003,38.24855001,26.81875266,13.31499184,-0.531938946,-12.69465206,-21.0902,-22.39622615,-12.45717612,9.704277763,39.26492465,62.43933724,76.71919887,84.37970507,86.82613206,84.99729982,79.66883673,71.3976081,60.77204806,48.82228469,36.4459104,24.25925519,12.67149952,1.724300385,-8.40974332,-17.60517363,-25.91415371,-33.21549199,-39.17396426,-43.34904221,-45.49764211,-45.83301936,-44.8651378,-43.00067732,-40.47626832,-37.43003691,-33.93554317,-30.03676424,-25.81349486,-21.4214587,-17.05616388,-12.90924713,-9.148956277,-5.898738877,-3.227709741,-1.142529575,0.406205158,1.499711992,2.24235526,2.753564213,3.152500415,3.534526378,3.958029559,4.430860708,4.90501831,5.293564717,5.522629635,5.560182503,5.409190818,5.136173612,4.807730308,4.492486159,4.269481143,4.184039612,4.229168213,4.348691705,4.458141356,4.468023871,4.298236151,3.881818621,3.181744245,2.217253466,1.046144099,-0.254913855,-1.575140496,-2.825683888,-3.95913198,-4.94788116,-5.788732672,-6.473234456,-6.979673396,-7.286658826,-7.380377708,-7.268376345,-6.978044271,-6.543204881,-5.996867849,-5.356766914,-4.620833582,-3.784803104,-2.880968905,-1.962581173,-1.093190852,-0.339638819,0.252940393,0.66594836,0.912066281,1.022159851,1.019472381,0.935506141,0.803378898,0.64544655,0.468159921,0.269999988,0.04249532,-0.222484827,-0.527762376,-0.867950242,-1.228626946,-1.593394823,-1.945561263,-2.270913779,-2.558054676,-2.79295062,-2.961774216
0026cyc,0.56,298,0.034606482,0.140125601,0.316345046,0.56265823,0.877643847,1.258622019,1.701575484,2.201446348,2.752741878,3.350379351,3.990510509,4.670953281,5.390917905,6.150336717,6.949175717,7.786807484,8.661295141,9.569575335,10.50783968,11.47178341,12.45681506,13.4583772,14.47272461,15.49831115,16.53780634,17.6000177,18.70070989,19.86250388,21.11010483,22.46066028,23.91933193,25.48055755,27.13377115,28.86632307,30.64108704,32.32192849,33.66393414,34.49918104,34.89063957,35.05981991,35.22755755,35.52551136,35.96778822,36.32116779,35.77727224,32.95129884,26.76603745,17.43241231,6.410900754,-4.462589993,-13.66933904,-20.34026986,-24.8249913,-27.54519028,-28.70514725,-28.19582724,-25.7195668,-21.12371476,-14.67749685,-7.086618527,0.735270935,8.016655441,14.23757933,18.99509457,22.30876177,24.36321448,25.37018398,25.46593965,24.71860204,23.19153104,20.9840879,18.24079179,15.12458267,11.79566141,8.38695479,5.008281294,1.768559641,-1.203809709,-3.798740187,-5.918598084,-7.49460341,-8.486520018,-8.892494707,-8.753749043,-8.148611553,-7.177482523,-5.953759614,-4.59975091,-3.252782639,-2.07069544,-1.210725147,-0.790380177,-0.860349633,-1.393535264,-2.297644691,-3.44966746,-4.735411047,-6.063994885,-7.361326749,-8.553723958,-9.55624365,-10.27702811,-10.63902594,-10.59795363,-10.17164857,-9.424562548,-8.444334928,-7.314949218,-6.097295698,-4.831913806,-3.549981646,-2.284303174,-1.074805263,0.031380602,0.988103454,1.760647777,2.328648213,2.687951685,2.843904378,2.806129081,2.586121515,2.198361036,1.664318963,1.015882691,0.294835432,-0.451215146,-1.175509211,-1.837616922,-2.407475782,-2.865873006,-3.201995537,-3.411506818,-3.494872274,-3.457428341,-3.309866203,-3.068579997,-2.752474893,-2.382049133,-1.97704212,-1.554738528,-1.130678664,-0.717769567,-0.328022027,0.027727066,0.339994857,0.601359655,0.80706803,0.955135752,1.046187123,1.083275363,1.071448476,1.017550786,0.929648025,0.816433746,0.686616324,0.548356243,0.408908456,0.274202587,0.148504621,0.034518681
test1049,-16.4,298,0.054994871,0.222467745,0.501661544,0.891740678,1.391961602,2.001288591,2.717887157,3.538872705,4.460850321,5.480949803,6.596829514,7.805456225,9.10191375,10.4797409,11.93163517,13.44971852,15.02602635,16.6523282,18.32050516,20.02317227,21.75449702,23.51272275,25.30249889,27.13703863,29.03924333,31.04159288,33.18587123,35.49532878,37.56079118,38.17700724,37.39273639,36.88764897,37.21692256,37.65693297,37.60658078,36.73309777,35.15059372,33.43562488,32.2068337,31.76735982,32.12166108,33.11716313,34.49040654,35.62393134,35.15506609,31.33846499,23.31334593,11.8651826,-1.106449117,-13.66359347,-24.31265303,-31.91814984,-34.89902941,-30.04711708,-13.41198897,16.64617609,57.04652402,96.75531837,126.2854218,145.4505195,153.0646269,149.8652027,138.7114672,122.6122905,104.1593414,84.97476442,65.9879573,47.67945162,30.19703911,13.57766334,-2.003309863,-16.40360553,-29.39981688,-40.8073991,-50.46044477,-58.0807234,-63.35232712,-66.10167557,-66.57495218,-65.11726993,-62.06428641,-57.80216581,-52.74104166,-47.26807527,-41.73287065,-36.45376621,-31.66344607,-27.50230849,-24.0283891,-21.23673211,-19.07135425,-17.43188709,-16.19839022,-15.24256894,-14.44366537,-13.71814514,-12.99419247,-12.22372158,-11.40310683,-10.55656892,-9.700927244,-8.809030555,-7.799660763,-6.562518582,-5.007690833,-3.127207638,-1.003637787,1.265140644,3.608639486,5.979402708,8.36550101,10.76018307,13.13752907,15.37215408,17.28889717,18.67370244,19.36135027,19.24118287,18.25730976,16.42281326,13.85713135,10.76010637,7.324535967,3.72489751,0.128288882,-3.310335813,-6.466040588,-9.256772248,-11.62918307,-13.53049044,-14.88855441,-15.64256067,-15.76923423,-15.29056292,-14.25435223,-12.75442385,-10.93065841,-8.956839479,-7.018572599,-5.268384085,-3.787494787,-2.622367652,-1.773800852,-1.19204495,-0.794113114,-0.494217727,-0.226532601,0.040190968,0.297729961,0.503962938,0.61301413,0.595188069,0.45167658,0.236497928,0.005740565,-0.206772394,-0.386644279,-0.534489983,-0.662011764,-0.772483211
0411chp,0.07,298,0.056286055,0.227266849,0.51119709,0.906222281,1.410833057,2.023175502,2.73977369,3.554763673,4.460400501,5.448383837,6.51105691,7.641710929,8.834105474,10.08179178,11.37808175,12.71645315,14.09020007,15.49239279,16.91571409,18.35246878,19.79486168,21.23556317,22.66834006,24.08948257,25.50058893,26.91137371,28.33916854,29.80097357,31.30650026,32.85910097,34.45756284,36.09478169,37.7591603,39.43653988,41.0959986,42.63837251,43.86094973,44.55670602,44.68550251,44.39808854,43.91130969,43.40017709,42.94507701,42.39353855,40.96674777,37.15225733,29.69415491,18.8188986,6.22302285,-5.98943361,-16.18761864,-23.65592006,-28.63789935,-31.57750224,-32.73913062,-31.95212262,-28.54372369,-21.76735744,-11.66704221,0.587596804,12.27077501,21.35572605,28.06269059,32.46769695,35.08941829,36.32594293,36.42983342,35.5277532,33.66055371,30.89035717,27.33136658,23.15335401,18.5513045,13.71950108,8.831201035,4.084958394,-0.416423504,-4.57661048,-8.285490951,-11.43858529,-13.95787173,-15.83430662,-17.07451403,-17.7031235,-17.78872456,-17.43187109,-16.74461787,-15.83825479,-14.82448661,-13.82094967,-12.94733667,-12.29357045,-11.90720233,-11.78940115,-11.89102838,-12.13352735,-12.40253596,-12.57195424,-12.5587366,-12.33471133,-11.91999563,-11.36573722,-10.72799683,-10.05017079,-9.351702045,-8.629265917,-7.853104491,-6.972991127,-5.937460357,-4.703083126,-3.264796392,-1.662806255,0.029522147,1.729070972,3.362815341,4.879022021,6.238397572,7.399221526,8.323751246,8.971825117,9.317921064,9.357418023,9.10122942,8.574555957,7.810284268,6.847717768,5.727945235,4.492836861,3.182959649,1.835002028,0.487383578,-0.818625369,-2.046939031,-3.162511286,-4.136026526,-4.95055605,-5.598757578,-6.081314025,-6.40516532,-6.580455153,-6.617577919,-6.525335834,-6.310946949,-5.981917441,-5.547100337,-5.017675409,-4.408311522,-3.737732126,-3.031435512,-2.322544265,-1.651560961,-1.059919918,-0.578195726,-0.211901168,0.053100957,0.239330951,0.368801819,0.456644975,0.51081047,0.534924015
test1030,-5.5,298,0.107470607,0.436158474,0.988105003,1.764821013,2.764243946,3.978287266,5.393606102,6.993819861,8.761365166,10.67848835,12.72867569,14.9003959,17.18616898,19.57768458,22.06347956,24.62973984,27.26069663,29.93829691,32.64357423,35.35926274,38.07156192,40.77160561,43.4573316,46.13480531,48.81864285,51.52849257,54.28345441,57.09576613,59.96438231,62.59986977,61.96222123,52.63307774,38.24173953,29.60673992,28.99036775,33.25829303,40.18652058,47.83248628,54.19128468,58.74040437,61.58472459,63.07381007,63.54216751,62.93306862,60.16493038,53.31997895,41.45884722,25.98440765,10.07672805,-2.750230112,-10.6395135,-11.19747569,-2.844389834,12.80511917,31.82569586,49.42461056,69.6145993,96.99145971,129.9809759,156.8843134,166.2659979,163.2085969,152.1354345,136.1772494,117.5229148,97.62531975,77.61462074,58.08893525,39.2478563,21.26722049,4.293077457,-11.36724624,-25.15195197,-36.84446106,-46.45639288,-54.05169236,-59.85105423,-63.93530808,-66.2916224,-66.93592084,-66.13987489,-64.23103418,-61.48840367,-58.17051095,-54.53810402,-50.79985572,-47.11774818,-43.65816105,-40.60226686,-38.08937333,-36.1570844,-34.67768914,-33.35697413,-31.88313091,-30.04303147,-27.7981072,-25.24931393,-22.52955859,-19.76267933,-17.01720396,-14.29520157,-11.56351961,-8.791749226,-5.967331626,-3.07861987,-0.125710075,2.871535302,5.866532464,8.75305179,11.35747598,13.4824664,15.00441043,15.9687989,16.60944415,17.16063213,17.75129137,18.38705776,18.96191386,19.30457837,19.29097333,18.84951687,17.94371413,16.53885495,14.62388107,12.22140401,9.358643534,6.075991829,2.395459461,-1.666017289,-5.985723938,-10.36207976,-14.62038173,-18.60659818,-22.1811567,-25.18295614,-27.4451402,-28.81973131,-29.21981498,-28.70338173,-27.45501677,-25.71256778,-23.68393575,-21.51352874,-19.32019991,-17.18411763,-15.16042491,-13.29200721,-11.60518365,-10.11166244,-8.80574996,-7.648934704,-6.577422518,-5.530480229,-4.455070297,-3.314298373,-2.113285636,-0.874749766,0.383478884,1.655101029,2.934646212
test1023,-5.7,298,0.127743191,0.516591412,1.164133303,2.0668058,3.219898341,4.616969294,6.248588197,8.101571444,10.15994864,12.40808896,14.83407422,17.43037993,20.19028451,23.10292744,26.15251986,29.32135026,32.59261351,35.95128396,39.38125537,42.86431416,46.38298572,49.92410959,53.48046433,57.04989855,60.63813081,64.2622854,67.95049728,71.7387605,75.65310971,79.02294488,76.98547377,63.49202421,43.010106,25.46571412,16.31010973,15.5170557,20.43988139,28.26188631,37.01485493,45.72114598,54.08229085,62.09112521,69.68665094,76.13386202,78.97919309,74.41808389,60.27764507,38.40713366,13.8347338,-7.461906672,-19.31190343,-15.88766098,6.439573934,46.84142392,98.841568,152.6514426,194.7325483,223.7428987,241.8962339,248.6743937,241.7255503,223.399063,196.7305315,165.3079829,132.0950791,99.06902041,67.24772328,37.1882711,9.524744791,-15.73941563,-38.57924111,-58.91352173,-76.61311992,-91.49527548,-103.4253395,-112.3940503,-118.5792843,-122.1629882,-123.2196068,-121.766301,-117.9834067,-112.2352339,-104.8628976,-96.16359505,-86.43155609,-75.9749675,-65.13728936,-54.30526141,-43.85668528,-34.06685882,-25.07116515,-16.8998849,-9.545268367,-2.974502715,2.88283682,8.144257796,12.94003464,17.32780673,21.20799417,24.33029603,26.42701483,27.37445662,27.27568937,26.4536704,25.2882832,24.06206097,22.92170634,21.90003454,20.95078402,20.02234855,19.08555667,18.12029884,17.09000791,15.91098049,14.42318486,12.41430798,9.716486825,6.251913745,2.052252829,-2.765301431,-8.056915663,-13.68209296,-19.4533589,-25.1482385,-30.52849061,-35.40153738,-39.68200899,-43.32766024,-46.28161171,-48.46020767,-49.75996422,-50.13060798,-49.56434789,-48.06714659,-45.62105416,-42.16670573,-37.68669424,-32.28160931,-26.18246242,-19.71888273,-13.19193398,-6.797297316,-0.641841873,5.207981343,10.69305186,15.72080796,20.20650276,24.09520317,27.33734945,29.84976632,31.54654238,32.38453725,32.38012605,31.60002663,30.144389,28.13688178,25.74862718,23.1261705,20.36233968,17.49829652
test2022,-9.45,298,0.037132218,0.150247839,0.338883953,0.602391619,0.940047271,1.350772438,1.83292437,2.38468154,3.004468419,3.691387045,4.444981824,5.263869182,6.14506098,7.083960277,8.074628745,9.11048515,10.18517617,11.29314724,12.42958192,13.59037816,14.77262972,15.9764352,17.20775041,18.48057477,19.81783731,21.25090373,22.81854304,24.53831408,26.01136864,26.07365437,24.75627654,23.78798368,24.14164732,25.35582121,26.53333941,26.99313582,26.60986714,25.74420799,24.85652484,24.22815364,23.91183044,23.81952636,23.77436639,23.3898978,21.83488188,18.02691905,11.39664914,2.390691057,-7.809158624,-17.90566738,-26.69985623,-32.62173356,-33.76476998,-27.85575169,-12.73582601,11.98186604,41.2174507,68.83568646,85.91875237,93.88058908,95.04964017,91.31459957,84.12573797,74.6632623,64.09310882,53.13361048,42.15433321,31.35094115,20.80069201,10.54085927,0.625958652,-8.81215732,-17.57844192,-25.48720919,-32.1467928,-37.26363225,-40.5555588,-41.87485215,-41.44278438,-39.71422137,-37.10982112,-33.99230886,-30.64747647,-27.28435983,-24.04836658,-21.01693965,-18.24189968,-15.75652943,-13.55644472,-11.61893694,-9.919334414,-8.439594234,-7.165928497,-6.091544869,-5.204957374,-4.490500836,-3.938646075,-3.541288338,-3.275097173,-3.078675449,-2.851443719,-2.496974794,-1.954792917,-1.21451928,-0.300878225,0.728193046,1.81028555,2.902292096,3.990412383,5.07483779,6.132269889,7.100034043,7.889314537,8.418066479,8.622983593,8.464343611,7.932305019,7.049919276,5.862588781,4.430313618,2.823335487,1.115496893,-0.620994108,-2.317853572,-3.911610824,-5.348775238,-6.591415484,-7.61402168,-8.410121882,-8.996661242,-9.39823341,-9.633829118,-9.706941669,-9.617749568,-9.370561431,-8.973648172,-8.44348856,-7.806277158,-7.092891113,-6.334887272,-5.570795246,-4.850498054,-4.216550191,-3.690372229,-3.2683236,-2.925542454,-2.624838285,-2.326066605,-1.998104629,-1.632038796,-1.234114862,-0.817068923,-0.397081009,0.020044043,0.433738755,0.840649743,1.234706033,1.605914401,1.940997478,2.227277161
test3005,-10.91,298,0.05699962,0.230557456,0.520617934,0.928560489,1.456454111,2.104867756,2.871768228,3.753075895,4.743210483,5.836620813,7.032058533,8.333717076,9.743046586,11.25465362,12.8593891,14.5449375,16.29940678,18.11198626,19.97236149,21.87000411,23.79582731,25.74333674,27.71112451,29.7019049,31.72859729,33.81712496,36.00730275,38.31173618,40.19731171,38.94791715,24.11161535,-10.14188965,-33.72615661,-41.08259038,-38.15136146,-28.26879727,-13.85729786,1.441364779,14.84306307,26.47922414,36.62803892,45.5348402,53.31713169,59.64462346,63.08271813,61.23079956,52.51777157,37.83481312,20.1481491,2.981179826,-10.06183747,-15.08800113,-9.0942603,9.254592538,38.37500284,73.81784859,109.4107882,137.0535784,154.0935104,160.1428368,155.4901578,142.0855141,122.3590921,98.93859301,74.44142897,50.57815704,28.33161268,8.280587808,-9.6682452,-25.68128163,-39.74856843,-51.92967894,-62.29298538,-70.83649876,-77.44390109,-82.0040052,-84.48121176,-84.94832271,-83.53809292,-80.34997047,-75.56330737,-69.44488916,-62.25125506,-54.18918692,-45.49657076,-36.46703638,-27.46348633,-18.86023285,-10.97641131,-3.954104334,2.265312512,7.841317006,12.88051491,17.4357743,21.53696357,25.23456069,28.54204399,31.39997327,33.66298312,35.18148608,35.84849847,35.62565272,34.57650135,32.85994623,30.65034591,28.06051692,25.16735405,22.03748171,18.74057202,15.3551494,11.95090789,8.524498875,5.014974229,1.359151722,-2.465906146,-6.412886049,-10.35658666,-14.17740889,-17.78500221,-21.10989693,-24.1031598,-26.71797017,-28.90505946,-30.61788049,-31.78409213,-32.33983732,-32.24991904,-31.52435194,-30.21717672,-28.41705422,-26.23134368,-23.75468081,-21.05945205,-18.1899762,-15.16924404,-12.01931529,-8.778361519,-5.496438587,-2.229154672,0.953051357,3.965920258,6.724312184,9.172382696,11.25651667,12.89204887,14.04572655,14.74071924,15.03143948,14.9769161,14.61939541,13.97265789,13.04381027,11.87370101,10.53539259,9.090109326,7.588713867,6.073126283,4.57737589,3.12968941,1.758110766
