Mol,DH,TDS,DG,Temp,gf_w_40,gf_w_80,gf_w_120,gf_w_160,gf_w_200,gf_w_240,gf_w_280,gf_w_320,gf_w_360,gf_w_400,gf_w_440,gf_w_480,gf_w_520,gf_w_560,gf_w_600,gf_w_640,gf_w_680,gf_w_720,gf_w_760,gf_w_800,gf_w_840,gf_w_880,gf_w_920,gf_w_960,gf_w_1000,gf_w_1040,gf_w_1080,gf_w_1120,gf_w_1160,gf_w_1200,gf_w_1240,gf_w_1280,gf_w_1320,gf_w_1360,gf_w_1400,gf_w_1440,gf_w_1480,gf_w_1520,gf_w_1560,gf_w_1600,gf_w_1640,gf_w_1680,gf_w_1720,gf_w_1760,gf_w_1800,gf_w_1840,gf_w_1880,gf_w_1920,gf_w_1960,gf_w_2000,gf_w_2040,gf_w_2080,gf_w_2120,gf_w_2160,gf_w_2200,gf_w_2240,gf_w_2280,gf_w_2320,gf_w_2360,gf_w_2400,gf_w_2440,gf_w_2480,gf_w_2520,gf_w_2560,gf_w_2600,gf_w_2640,gf_w_2680,gf_w_2720,gf_w_2760,gf_w_2800,gf_w_2840,gf_w_2880,gf_w_2920,gf_w_2960,gf_w_3000,gf_w_3040,gf_w_3080,gf_w_3120,gf_w_3160,gf_w_3200,gf_w_3240,gf_w_3280,gf_w_3320,gf_w_3360,gf_w_3400,gf_w_3440,gf_w_3480,gf_w_3520,gf_w_3560,gf_w_3600,gf_w_3640,gf_w_3680,gf_w_3720,gf_w_3760,gf_w_3800,gf_w_3840,gf_w_3880,gf_w_3920,gf_w_3960,gf_w_4000,gf_w_4040,gf_w_4080,gf_w_4120,gf_w_4160,gf_w_4200,gf_w_4240,gf_w_4280,gf_w_4320,gf_w_4360,gf_w_4400,gf_w_4440,gf_w_4480,gf_w_4520,gf_w_4560,gf_w_4600,gf_w_4640,gf_w_4680,gf_w_4720,gf_w_4760,gf_w_4800,gf_w_4840,gf_w_4880,gf_w_4920,gf_w_4960,gf_w_5000,gf_w_5040,gf_w_5080,gf_w_5120,gf_w_5160,gf_w_5200,gf_w_5240,gf_w_5280,gf_w_5320,gf_w_5360,gf_w_5400,gf_w_5440,gf_w_5480,gf_w_5520,gf_w_5560,gf_w_5600,gf_w_5640,gf_w_5680,gf_w_5720,gf_w_5760,gf_w_5800,gf_w_5840,gf_w_5880,gf_w_5920,gf_w_5960,gf_w_6000,gf_w_6040,gf_w_6080,gf_w_6120,gf_w_6160,gf_w_6200,gf_w_6240,gf_w_6280,gf_w_6320,gf_w_6360,gf_w_6400
0001met_water,-2.87,-4.87,2,298,0.009422948,0.038126165,0.085952423,0.152559027,0.23732309,0.339255643,0.456967311,0.58872645,0.732653447,0.887205326,1.051862755,1.227411697,1.415378743,1.617006146,1.832500999,2.060817592,2.299568395,2.545530111,2.795228554,3.045021873,3.291221398,3.530222617,3.758740046,3.974378847,4.176651519,4.368038867,4.554688417,4.749914373,4.978577684,5.265538112,5.6180146,6.025256742,6.468785809,6.930952537,7.387137299,7.78731654,8.075691414,8.241344551,8.325508471,8.382786811,8.447183507,8.530154314,8.627252538,8.700598509,8.604931209,8.02027913,6.551225898,3.972148398,0.416458492,-3.650982316,-7.657685586,-11.0409535,-13.60905268,-15.47912871,-16.66893423,-17.0025944,-16.13361347,-13.74422584,-9.796261697,-4.628405384,1.042479157,5.609795002,9.050242391,11.64797406,13.59124316,15.01171353,15.9845562,16.52229519,16.59001672,16.14512942,15.17818024,13.72963013,11.88023092,9.732781334,7.390656218,4.935784565,2.441893148,-0.014885188,-2.352080336,-4.483867442,-6.326201913,-7.816880055,-8.921197752,-9.636454809,-9.96156749,-9.93477736,-9.624927012,-9.106599459,-8.449019155,-7.708794943,-6.932163642,-6.163750894,-5.444972924,-4.80080076,-4.234033385,-3.742474826,-3.322128159,-2.968859949,-2.678310792,-2.445560257,-2.264240266,-2.125248986,-2.01604674,-1.921315487,-1.82417543,-1.707385093,-1.555106153,-1.354121154,-1.095048187,-0.772526497,-0.385408113,0.062750423,0.562712742,1.09932261,1.651807436,2.187981166,2.677790146,3.099450941,3.435254584,3.672188383,3.802018149,3.821271202,3.734396736,3.547128106,3.26712023,2.904718319,2.472504085,1.984853915,1.457529976,0.907233696,0.350749107,-0.195633236,-0.716582554,-1.19818715,-1.628371603,-1.997373361,-2.298222984,-2.526809956,-2.681911721,-2.764886384,-2.779434452,-2.730924211,-2.625933901,-2.473044834,-2.281489414,-2.060692176,-1.819924851,-1.567967545,-1.313026607,-1.063819331,-0.826674565,-0.606045786,-0.405014955,-0.225578898,-0.068742834,0.065341301,0.177252288,0.268179695,0.339861393,0.394403355
0002eth_water,-4.28,-6.11,1.83,298,0.014715102,0.059247098,0.132690651,0.234033833,0.362394073,0.516795779,0.695706037,0.896767332,1.116889971,1.35279037,1.601824496,1.86263382,2.135158272,2.419974172,2.717635119,3.028153579,3.350415917,3.681843624,4.019041781,4.357849255,4.6935263,5.02155716,5.337919522,5.639782214,5.927020234,6.203931722,6.480548443,6.778978631,7.142329031,7.617405277,8.223930766,8.95021971,9.767727443,10.64458478,11.53007337,12.31903963,12.89414445,13.22945771,13.40541103,13.53414721,13.69520621,13.91797969,14.19206723,14.44517065,14.40951448,13.50358043,11.03239766,6.640286974,0.616046687,-6.196962141,-12.79947451,-18.26293566,-22.23727567,-24.95768715,-26.52341295,-26.79525098,-25.46075238,-22.28247853,-17.34737924,-11.11582174,-4.259641133,2.533641001,8.435962896,12.87567526,16.1814808,18.59942756,20.27784774,21.27143059,21.57473833,21.1865748,20.1064504,18.39371827,16.16340237,13.55603427,10.71418825,7.752863336,4.769623139,1.857620443,-0.889731308,-3.380370909,-5.523932015,-7.230590108,-8.422729216,-9.06741884,-9.181368844,-8.839993241,-8.140916742,-7.196526992,-6.126869149,-5.062402878,-4.137462803,-3.465800737,-3.116935107,-3.098704492,-3.367757752,-3.857808005,-4.49351862,-5.200374764,-5.907584589,-6.562535038,-7.13166865,-7.594228059,-7.937809906,-8.151527777,-8.221571893,-8.136199221,-7.891432242,-7.487405316,-6.92013606,-6.187153396,-5.29488676,-4.262510316,-3.120693169,-1.908840724,-0.670579798,0.551401452,1.716922687,2.789699722,3.736755044,4.52982768,5.149938446,5.590311591,5.850343813,5.934862497,5.853493566,5.619940281,5.254085563,4.777845011,4.212408535,3.580295219,2.904613791,2.208190936,1.512785782,0.838394523,0.202660835,-0.379554872,-0.896430172,-1.339416329,-1.703439234,-1.987050649,-2.192417341,-2.324937737,-2.392606219,-2.405211809,-2.373412444,-2.308297602,-2.22054049,-2.119553562,-2.013082958,-1.906978299,-1.805027653,-1.709107401,-1.619851925,-1.53720482,-1.460178267,-1.386605705,-1.31405079,-1.240039104,-1.162239146,-1.078605345
0010met_water,-5.19,-7.51,2.32,298,0.031913956,0.128546746,0.288122975,0.508711966,0.788660883,1.126196952,1.518660264,1.962181903,2.451836279,2.982446789,3.549814776,4.150772925,4.782392069,5.441000347,6.121875993,6.819816879,7.529140027,8.243454681,8.955568105,9.657514908,10.340867,10.99688463,11.61729997,12.19586616,12.73060904,13.22640294,13.69747295,14.18223951,14.76488317,15.53860087,16.53954166,17.73703039,19.06839646,20.46710789,21.83485672,22.97763095,23.68383796,23.91320572,23.82250822,23.62731779,23.48262029,23.4523632,23.52041069,23.52316499,22.86562788,20.35238118,14.74398841,5.71376554,-5.722148183,-17.683861,-28.31326723,-36.34741353,-41.76270903,-45.03352558,-46.49747945,-46.17012407,-43.78555778,-39.02747306,-31.91259294,-22.95121729,-12.96527228,-2.85519186,6.629467697,14.6367588,20.7527348,25.3387888,28.60775654,30.62917832,31.38083509,30.8419933,29.07423267,26.2430014,22.58251373,18.34770742,13.77198896,9.04572664,4.328184904,-0.220988397,-4.423622456,-8.108578498,-11.15065499,-13.467532,-14.98956163,-15.69127321,-15.62228752,-14.8876584,-13.63372059,-12.02342248,-10.23772483,-8.48531114,-6.978429393,-5.880331061,-5.261077128,-5.097184752,-5.314554788,-5.793296851,-6.395410127,-6.983412879,-7.440938303,-7.696510446,-7.741123374,-7.630042599,-7.454895786,-7.282387957,-7.133621687,-6.991278556,-6.808636775,-6.5299494,-6.10097175,-5.500021386,-4.736522924,-3.838319727,-2.84589832,-1.800803695,-0.738893849,0.290108466,1.21915006,1.982367876,2.528353221,2.824827467,2.882324577,2.750741848,2.497262923,2.179085622,1.828061563,1.451955852,1.046320059,0.604788862,0.128181885,-0.370548425,-0.873721184,-1.359081419,-1.799308183,-2.17251556,-2.462896931,-2.658746551,-2.755439059,-2.756508908,-2.671532704,-2.513994858,-2.298150917,-2.038656103,-1.750290521,-1.448240538,-1.146005908,-0.85452086,-0.582896214,-0.337363165,-0.120566093,0.064980291,0.217980691,0.338150103,0.426168193,0.483227451,0.510845352,0.511104989,0.486836456,0.440929476,0.376322748,0.296335959
0011dim_water,-5.59,-8.09,2.5,298,0.047972525,0.193391411,0.433863757,0.766340324,1.18751391,1.693602932,2.279832327,2.940431938,3.669255769,4.460583403,5.309903617,6.213342329,7.165869472,8.159854955,9.18501035,10.22998551,11.28356186,12.33450884,13.37095863,14.38003029,15.34818992,16.26222383,17.11063742,17.88476304,18.5804937,19.20112412,19.76093238,20.30932328,20.96205778,21.8415606,22.98030427,24.31642301,25.75216884,27.19676508,28.53188586,29.53283032,29.96130983,29.78587888,29.20604854,28.48554062,27.8121142,27.2649514,26.82742044,26.28730645,24.87281121,21.10186354,13.5704128,2.142236115,-11.66667565,-25.48127666,-37.270168,-45.89047916,-51.41158057,-54.47699865,-55.50732564,-54.53730441,-51.28410042,-45.46441863,-37.04238283,-26.55084258,-14.97125316,-3.392975001,7.293315272,16.35667158,23.16011571,28.08196447,31.3902188,33.17217574,33.4120407,32.11450031,29.39591768,25.49103765,20.69991965,15.32480743,9.634719358,3.849848347,-1.72629621,-6.879087175,-11.50015799,-15.49507717,-18.77919176,-21.25939676,-22.84841413,-23.51222616,-23.30249807,-22.33580014,-20.76835771,-18.76716054,-16.50457396,-14.16885922,-11.94941245,-9.99641296,-8.387947604,-7.127238167,-6.161123579,-5.394502971,-4.710106845,-3.976506924,-3.075643803,-1.952571921,-0.670826792,0.550114839,1.481680877,2.017138849,2.167479003,2.02188577,1.703626048,1.347212952,1.029120757,0.787998975,0.631175945,0.543505685,0.493386838,0.460810168,0.427408349,0.34318217,0.128793652,-0.286123632,-0.935588036,-1.812464428,-2.846532638,-3.909235881,-4.870239612,-5.648800674,-6.233442386,-6.659497195,-6.978409259,-7.237280517,-7.45805535,-7.63772227,-7.759147211,-7.803852252,-7.740259348,-7.539139755,-7.183993753,-6.673116362,-6.023270648,-5.268491055,-4.443652542,-3.579875072,-2.702202906,-1.831642418,-0.983293015,-0.170228572,0.597136567,1.310116181,1.962021151,2.546583322,3.057730569,3.490845371,3.843243702,4.113420407,4.302451727,4.412058025,4.444112224,4.400925489,4.283307768,4.092642352,3.832332155,3.507164539
0012met_water,-7.29,-9.81,2.52,298,0.045070095,0.181778633,0.408246743,0.722555515,1.123136262,1.607905967,2.172997341,2.812173858,3.517143843,4.278995186,5.090027945,5.944341588,6.837188334,7.763805209,8.718971194,9.696898275,10.69048468,11.69113848,12.68895435,13.67298935,14.63167652,15.55339068,16.42737407,17.24571673,18.00652829,18.71746687,19.39883684,20.1044249,20.95220829,22.07373849,23.521286,25.25249411,27.17864699,29.20328596,31.17773521,32.80445102,33.76218477,33.99724967,33.7571583,33.37356435,33.0801146,32.9684813,33.01216035,32.97857124,32.03156671,28.4897278,20.60045882,7.884905265,-8.249574844,-25.16952574,-40.23406791,-51.62748737,-59.37110213,-64.04561492,-66.08032825,-65.49947085,-61.9710223,-55.15023401,-45.17575735,-32.83812618,-19.33128847,-5.853642926,6.451139054,16.63710594,24.6184539,30.74176376,35.21330554,38.08361333,39.29418268,38.79214971,36.64467701,33.07074587,28.38778101,22.9505826,17.08156323,11.04209482,5.05163565,-0.692326923,-5.971663982,-10.6086669,-14.4579788,-17.39059583,-19.29757412,-20.16001309,-20.04676391,-19.09600437,-17.49246259,-15.44698911,-13.21358361,-11.0890916,-9.372513782,-8.287109623,-7.928074891,-8.254863334,-9.108877273,-10.28971273,-11.58045704,-12.7678791,-13.69831939,-14.28420421,-14.52354924,-14.49036354,-14.29468706,-14.02872459,-13.74415217,-13.43580155,-13.04581017,-12.48927816,-11.68729583,-10.59031712,-9.193137552,-7.529683692,-5.659665437,-3.655458174,-1.597573054,0.413275516,2.25587405,3.811054434,4.99675717,5.774844936,6.154437876,6.190444822,5.960865661,5.545122653,5.004380569,4.376363858,3.683929194,2.949321992,2.19467633,1.438135305,0.69055151,-0.039865867,-0.739373624,-1.384121392,-1.943187541,-2.384612186,-2.687419857,-2.848152881,-2.885183361,-2.831041078,-2.720468582,-2.57812519,-2.410302071,-2.21199633,-1.976376299,-1.701079454,-1.394262518,-1.07417612,-0.768939909,-0.510478803,-0.324431326,-0.220792222,-0.193700858,-0.225004125,-0.293205092,-0.383057369,-0.48985781,-0.615292562,-0.760962752,-0.925985443
0014tri_water,-7.41,-10.26,2.85,298,0.076456624,0.308531172,0.693100991,1.225848812,1.90150138,2.713386567,3.653031662,4.710274394,5.873807552,7.132401228,8.476309041,9.897618611,11.38865417,12.93967925,14.53777243,16.16722185,17.8103369,19.44874717,21.06367407,22.63549423,24.14371946,25.56744741,26.88722043,28.08840324,29.16560881,30.12649971,30.99653394,31.85529353,32.88386069,34.27063012,36.06220038,38.15693486,40.39740484,42.63498832,44.67622304,46.15910767,46.70055207,46.25170872,45.13932316,43.79566991,42.53006082,41.47394538,40.60222036,39.57692879,37.17832421,31.09379641,19.18781274,1.354939773,-19.95707446,-41.05573035,-58.76188754,-71.41565989,-79.46583733,-83.81939782,-85.12809244,-83.52947584,-78.65627162,-70.08612295,-57.8392339,-42.70532587,-26.07085439,-9.442220621,5.932733734,18.89916753,28.81076002,36.08602746,41.05579003,43.81119288,44.31422078,42.57517428,38.78095021,33.30150396,26.59854702,19.13966709,11.3660271,3.626432529,-3.8298857,-10.78759241,-17.06758014,-22.53222083,-27.01787776,-30.37410607,-32.52313998,-33.41927205,-33.12339978,-31.81109742,-29.71394969,-27.07621026,-24.16096169,-21.26895708,-18.69697718,-16.66011685,-15.23985915,-14.3859074,-13.94560848,-13.68672202,-13.40201951,-12.94113895,-12.20941178,-11.20193595,-10.01276213,-8.787315367,-7.686596651,-6.813087447,-6.179360929,-5.708363359,-5.292362601,-4.843233266,-4.317191715,-3.715519253,-3.068029455,-2.405859131,-1.748423115,-1.099214482,-0.474013961,0.061879743,0.412603545,0.499670155,0.296274552,-0.151706764,-0.738775486,-1.332441801,-1.821182606,-2.152733217,-2.337879298,-2.426377524,-2.487509473,-2.584482884,-2.755664579,-3.014330445,-3.348811042,-3.727431128,-4.110782011,-4.456981788,-4.733569637,-4.919625652,-5.007767975,-5.004022722,-4.912809585,-4.726178089,-4.427800814,-4.009974543,-3.478919785,-2.854028707,-2.162846452,-1.43222105,-0.687458458,0.047610649,0.750256984,1.397660899,1.968903567,2.449715478,2.834268695,3.120673755,3.307547031,3.388845937,3.355070688,3.19860608,2.923444538,2.543383605
0016cyc_water,-3.68,-4.43,0.75,298,0.018902069,0.076310719,0.171651182,0.304373231,0.473840331,0.678766331,0.916667247,1.183675839,1.475200601,1.786744719,2.114274945,2.454198523,2.803577144,3.160322305,3.523260296,3.891753323,4.265027398,4.641276833,5.017173206,5.38796809,5.748699476,6.094810855,6.422320111,6.728567526,7.013997562,7.284293594,7.55228593,7.850202488,8.256877707,8.884848817,9.820079506,11.08819874,12.66336172,14.45945676,16.21019419,17.47583222,18.04299597,18.15264604,18.23831458,18.60864859,19.35920522,20.43725046,21.71513583,22.91927153,23.25722842,21.19565551,15.20815753,4.981801071,-8.205202171,-22.17809716,-34.85164306,-44.32141277,-50.74936825,-54.67206852,-56.16125728,-54.80684464,-50.07717079,-41.87267567,-30.82219336,-18.11800216,-5.09189807,7.117338177,17.65563153,25.61933529,31.36129907,35.36587958,37.93700645,39.20455421,39.18260794,37.87371764,35.35219816,31.79637497,27.5076324,22.76520078,17.80378533,12.82409,8.015701771,3.567686535,-0.340041311,-3.559813318,-5.996061756,-7.601605996,-8.360220781,-8.290375986,-7.457161931,-5.982688023,-4.039905839,-1.836388875,0.401803167,2.443678822,4.038937132,4.932870702,4.928974772,3.961153112,2.099600978,-0.488482597,-3.541978628,-6.778576386,-9.987340701,-12.99040719,-15.69512827,-18.0472965,-20.00461081,-21.51516933,-22.53402312,-23.03528405,-23.01201782,-22.46553404,-21.4002624,-19.81390765,-17.72247317,-15.18208181,-12.28914201,-9.172236465,-5.970510171,-2.808676914,0.206051246,2.98651365,5.465429968,7.595854021,9.347781403,10.6955845,11.64068307,12.19759224,12.3947667,12.26925262,11.86292307,11.22069474,10.38897888,9.417276294,8.351974222,7.235244298,6.106526951,5.000861278,3.947620594,2.970145714,2.085385885,1.303745259,0.629149544,0.059353125,-0.413451793,-0.801239991,-1.118604286,-1.382224434,-1.608796687,-1.814240043,-2.012574849,-2.215109631,-2.429629884,-2.659543727,-2.902358222,-3.152994106,-3.40410206,-3.646286383,-3.869002284,-4.061473327,-4.213054792,-4.313556822,-4.355247192,-4.33260341
0017cyc_water,-10.2,-11.4,1.2,298,0.028421122,0.115103964,0.259992991,0.462786907,0.722345488,1.035968079,1.399140508,1.805961545,2.249853853,2.724343623,3.223927187,3.744795837,4.284897401,4.84342773,5.420155319,6.01450127,6.624418805,7.245904487,7.873498441,8.500911119,9.121651828,9.72936385,10.31797598,10.88294047,11.42415619,11.948978,12.47412146,13.03755414,13.72008776,14.61967734,15.7911661,17.22689776,18.87934709,20.68337489,22.50999316,24.08131492,25.10284968,25.53857664,25.6273162,25.67104679,25.86968087,26.29000061,26.89553833,27.48610611,27.38192246,25.20599316,19.47883795,9.704724799,-3.099871015,-16.86734801,-29.42838861,-38.98362011,-45.46522491,-49.44796577,-51.25807599,-50.84526844,-47.90337719,-42.23809533,-34.11522667,-24.34369323,-13.99076943,-3.983589689,5.044968936,12.76357692,19.07670057,23.96212175,27.36428566,29.41325451,30.14913553,29.59022762,27.81506236,24.99430915,21.36539035,17.19097262,12.71605967,8.143292264,3.649123347,-0.60127405,-4.417777591,-7.640658192,-10.18419601,-11.98504366,-13.00489095,-13.2386445,-12.71862201,-11.51360764,-9.732411043,-7.530111838,-5.126411438,-2.792246064,-0.83684942,0.462182439,0.940666239,0.585461596,-0.483341677,-2.055859831,-3.912769579,-5.873872042,-7.811915453,-9.63900245,-11.27269244,-12.61615626,-13.59400062,-14.15649371,-14.28796381,-14.00418198,-13.33711244,-12.32724617,-11.02444834,-9.484411037,-7.768027424,-5.941044821,-4.082339824,-2.284882486,-0.643488025,0.75846224,1.865274122,2.653665127,3.127234972,3.30675802,3.221472329,2.909110455,2.419044744,1.810852284,1.14593576,0.474816777,-0.171267812,-0.770573915,-1.307095882,-1.767496303,-2.134601489,-2.391427311,-2.527095284,-2.542243363,-2.449106413,-2.263113,-2.00316329,-1.68858476,-1.336626956,-0.962492486,-0.581383271,-0.207139722,0.147259741,0.46970589,0.749086021,0.976108155,1.144267425,1.249789565,1.291399751,1.270548448,1.191318326,1.06019152,0.885689092,0.678333122,0.449511348,0.209966865,-0.029660972,-0.260339522,-0.474565024,-0.666302008
0018cyc_water,-10.1,-11.3,1.23,298,0.034230565,0.137559829,0.30735759,0.541050805,0.836923531,1.193395813,1.607893945,2.076259449,2.592748026,3.150960237,3.745117003,4.370847603,5.025112104,5.706013838,6.412509301,7.143434284,7.895910608,8.664842586,9.4435617,10.22453237,11.00040937,11.76423552,12.50968948,13.23238672,13.93198469,14.61500936,15.29807444,16.02201545,16.87631574,17.97035889,19.36532879,21.05123079,22.97317817,25.05550342,27.14274824,28.89197942,29.93898871,30.24432043,30.11382921,29.93125082,29.95016721,30.25631658,30.80695763,31.36461413,31.13328095,28.51136822,21.78644936,10.3957189,-4.463013753,-20.369087,-34.75980191,-45.66483274,-52.97999743,-57.34528693,-59.18661471,-58.52450933,-55.08422234,-48.71078172,-39.74804419,-28.97988637,-17.52307999,-6.380353976,3.7419945,12.45634598,19.63266177,25.28542346,29.42480031,31.9815538,32.99684834,32.49831105,30.58069401,27.44707274,23.37899585,18.68863658,13.66415081,8.545036035,3.55542827,-1.106194403,-5.286348483,-8.857810061,-11.72159562,-13.78647081,-15.00914655,-15.39118453,-14.97254772,-13.82887619,-12.06997762,-9.853794055,-7.416434507,-5.100570076,-3.299465145,-2.312935459,-2.29066085,-3.223436241,-4.964381818,-7.260273849,-9.816659167,-12.33317081,-14.50928466,-16.17032077,-17.24401746,-17.75099408,-17.76390461,-17.36492648,-16.6225893,-15.57684401,-14.23955855,-12.60834353,-10.68357659,-8.488355778,-6.072995043,-3.506718007,-0.871992297,1.735054393,4.20115229,6.395263702,8.18086359,9.446534438,10.13258077,10.23715915,9.815491562,8.972616344,7.830590554,6.502474458,5.06729448,3.563318546,2.006757345,0.412683092,-1.184104432,-2.726120894,-4.148490476,-5.387102151,-6.388282994,-7.118211569,-7.56455079,-7.737700522,-7.662800651,-7.377089167,-6.92228982,-6.338986107,-5.667364762,-4.944668036,-4.204068208,-3.474406691,-2.777723501,-2.127797931,-1.529613741,-0.98342829,-0.491110178,-0.056491247,0.3159974,0.622159929,0.86245625,1.04144873,1.167173114,1.249656944,1.300477015,1.328505724,1.340733141,1.342250647
0020cis_water,-9.15,-10.73,1.58,298,0.055319008,0.223070907,0.500848084,0.886137243,1.376742578,1.969770507,2.660245202,3.440584973,4.301090398,5.231533519,6.222864301,7.267886712,8.360590857,9.495027753,10.66490468,11.86312693,13.08076596,14.30704117,15.52969259,16.7356293,17.91187048,19.04602315,20.12703488,21.14739078,22.10650241,23.01406833,23.89335822,24.80482691,25.88270547,27.28047813,29.06489745,31.19269271,33.56384607,36.06248221,38.4898626,40.43532719,41.46555853,41.53181545,40.99995343,40.33619903,39.85606447,39.67444408,39.74616396,39.7563199,38.61870915,34.19713168,24.3272808,8.515150722,-11.35725308,-31.93778227,-49.82942542,-62.94510105,-71.60734542,-76.54698129,-78.32474916,-77.03854543,-72.43708317,-64.35455491,-53.13185693,-39.68309109,-25.28666515,-11.15552207,1.812917099,12.97144736,21.94375187,28.92285506,34.02137979,37.25751914,38.58995611,38.00845684,35.62927092,31.72270713,26.65331765,20.81450399,14.55921637,8.171148628,1.909003181,-4.006567922,-9.395429192,-14.08746775,-17.95492134,-20.89831492,-22.84198142,-23.76145238,-23.70436996,-22.77748277,-21.13742702,-18.99058586,-16.60565555,-14.33188441,-12.5389369,-11.50721187,-11.35284019,-12.02207601,-13.31791807,-14.96235715,-16.65450832,-18.09649599,-19.078828,-19.50479829,-19.38319462,-18.81274101,-17.93369397,-16.86946168,-15.69621843,-14.43357561,-13.0526864,-11.50051515,-9.725663215,-7.711953179,-5.487433271,-3.106996885,-0.640115936,1.838474055,4.23872851,6.443304743,8.312662561,9.712263055,10.55555765,10.81831318,10.54359172,9.827874891,8.792670802,7.562388883,6.237993019,4.881265881,3.520739414,2.171813383,0.846266991,-0.445572353,-1.69174497,-2.869909416,-3.939789057,-4.852621657,-5.568422058,-6.072465459,-6.380665823,-6.533083071,-6.578988663,-6.565500402,-6.527696398,-6.485596531,-6.436949163,-6.364013654,-6.242764822,-6.055892183,-5.802280628,-5.495600641,-5.151864775,-4.776922498,-4.367940693,-3.918457394,-3.423597851,-2.888049777,-2.327317271,-1.762594264,-1.2146739,-0.698736057,-0.22207064,0.216002784
